conference,n,prob_bias,margin_bias,margin_rmse
ACC,688,-0.008633530724169515,-0.7060093045127014,15.620958222366323
American Athletic,573,-0.011149446561071483,-0.5322068672055124,19.306534733475015
Big 12,629,0.009863189378761236,0.7430009987867616,19.33267428390077
Big Ten,732,0.011937481286901846,0.7250836294784665,16.496363204048908
Conference USA,382,-0.010170183643939467,-0.35287815899693487,18.053666717363367
FBS Independents,172,0.004103364249260936,1.5401401059163544,18.076322169223015
Mid-American,547,-0.021647470001026348,-1.4216453431385667,17.03169113410082
Mountain West,516,-0.00427657687121,-0.2542258837680394,16.238872059367562
Pac-12,317,0.014289874399810143,0.6664956919476692,16.551653199026877
SEC,669,0.018858859364526488,1.085962754777266,15.817376353315112
Sun Belt,601,-0.004214702572247336,-0.6098040077449166,17.425740922679225
