team,n,prob_bias,margin_bias
Air Force,32,-0.055159364880236914,-2.4161624610794274
Akron,44,-0.07717215777387174,0.32282003456996217
Alabama,46,0.10821061179007495,4.2032030873989354
App State,42,-0.09334626853762104,-4.17484695436622
Arizona,44,0.08599246356192164,4.405728848490373
Arizona State,46,-0.022204724466747178,-2.6872548432730285
Arkansas,44,-0.20937117574815647,-4.188296401146146
Arkansas State,43,0.04100746012717322,-0.5020454536289876
Army,41,0.12711188765325385,5.9678877063285825
Auburn,44,-0.1880598864080645,-4.726578116332808
BYU,44,0.2698363289128424,8.728498531534319
Ball State,44,-0.09477925598202672,-5.398041724917132
Baylor,44,-0.1547301782685602,-5.639355212248155
Boise State,47,0.037960099340763005,1.2645654952978131
Boston College,44,-0.10383380917238337,-4.352671680822869
Bowling Green,44,0.08276312907937244,3.5979289866482933
Buffalo,44,-0.029689334335979957,-1.1026304560437852
California,44,0.055313683024673474,3.5305917206029047
Central Michigan,44,-0.0928588036261738,-5.87846354015852
Charlotte,44,-0.12309621403994328,-7.496070852224824
Cincinnati,44,-0.09842180041355215,-4.719293511821236
Clemson,46,-0.014879456933707605,-1.6637267824462594
Coastal Carolina,42,0.015558586941767956,-5.979657957575355
Colorado,46,-0.03588286650370538,-1.3463885287961426
Colorado State,43,-0.05714056153901143,-2.6894964151679654
Duke,45,0.1544013607199078,6.960700685027931
East Carolina,44,0.016323763116457522,3.744281930031849
Eastern Michigan,43,0.07374444753957499,1.4884559048451753
Florida,44,-0.07810392396661824,-2.094142230027231
Florida Atlantic,43,-0.18869727225651847,-3.9583092718579644
Florida International,39,0.07599625681089026,2.6088052077422748
Florida State,45,-0.028582334052929276,1.2095406091588705
Fresno State,45,-0.003326316803010148,-1.1501492396286213
Georgia,48,0.15333583154262384,2.191611500929356
Georgia Southern,43,0.04362485184215184,-0.9845595434326928
Georgia State,44,-0.24375566154602063,-9.905849031898084
Georgia Tech,44,0.10259894573962623,1.6820499066944188
Hawai'i,44,-0.09372947813600795,-5.677420675217065
Houston,46,-0.08927063770392418,-7.074484106460334
Illinois,45,0.09934557605501006,3.196915909006187
Indiana,45,0.11755090736172565,8.305804394424813
Iowa,46,0.14576114221772316,6.508269012692691
Iowa State,45,0.11230041228018567,5.7427716881599595
Jacksonville State,23,0.030585157569064016,0.6228195591090483
James Madison,34,0.25306017110805,12.960487038758728
Kansas,44,-0.05405219215921772,0.02850964261337794
Kansas State,45,0.0526090915668006,5.1409753560408555
Kennesaw State,11,0.46773879317702155,16.082584349618774
Kent State,44,-0.09019331617189065,-5.235842633996357
Kentucky,44,-0.05545376279448275,-1.9535539544243823
LSU,45,0.011300437161221342,-1.6822963140934153
Liberty,40,0.06461284764479613,1.1043852868584316
Louisiana,44,-0.0013797959867834044,0.47046683873405165
Louisiana Tech,39,-0.027120136768152336,3.9462253206767377
Louisville,45,0.018230924669790812,0.640261085260656
Marshall,42,0.012094028807794683,-1.752873749694354
Maryland,45,-0.06736847895706102,-0.5659446759735439
Massachusetts,43,-0.27847126234336306,-11.731879399489058
Memphis,43,0.05614754338730318,2.3539969901541062
Miami,44,-0.07373437422776498,-2.3874074410872392
Miami (OH),48,0.07243829873667516,0.6922808167568477
Michigan,50,0.09875982986870513,2.216554559551349
Michigan State,45,-0.11566843281438519,-7.004409901355277
Middle Tennessee,38,-0.12112491532036274,-6.263414904176566
Minnesota,45,-0.002861885536936088,-1.2327698152636246
Mississippi State,44,-0.08930895609303185,-3.1826986651378273
Missouri,44,0.0602166087002793,0.10491902846935618
NC State,44,0.030504255304861172,-3.3936832542192548
Navy,33,0.17996520183983553,11.086807124935898
Nebraska,45,-0.02938337425206159,1.5146353493504587
Nevada,45,-0.15229415765789947,-2.591597041583365
New Mexico,43,0.0891848596603737,3.739604734530138
New Mexico State,42,0.046950703522199794,2.1215024347340807
North Carolina,45,-0.04817695777084475,-2.9926652783617227
North Texas,45,0.051132725454343615,3.50124245040758
Northern Illinois,44,-0.1272834278367095,-1.053205873289886
Northwestern,44,0.053229794375536495,3.883371295898911
Notre Dame,46,0.07357764182039421,7.350883700876855
Ohio,46,0.17883182483367666,6.189696399876462
Ohio State,47,0.09603341813713452,6.159920449585651
Oklahoma,46,0.0006795404844331797,0.023836749615082198
Oklahoma State,45,-0.1492071400019039,-9.205457300672164
Old Dominion,45,0.10757366318330883,7.603678829041029
Ole Miss,44,0.15180516566745353,4.670133849335158
Oregon,46,0.14817451889639327,5.34589429258445
Oregon State,44,-0.13096846262401315,-5.508163682770843
Penn State,47,-0.006114075048170484,1.381999417410981
Pittsburgh,44,-0.03261014588185602,-1.5638519207097779
Purdue,46,-0.13813428347081136,-7.805556282669307
Rice,43,0.008403944553500573,-2.592329319139976
Rutgers,44,-0.035778476141159886,-3.7900758159173025
SMU,45,0.03935144872927062,2.640179726036362
Sam Houston,22,0.026793693336842197,-3.294752443285934
San Diego State,44,-0.0074884258012689,-0.10130633692150838
San José State,41,-0.017808295479228527,0.179313748078829
South Alabama,44,-0.05495687177957193,1.2631995513065195
South Carolina,43,0.03204846040245972,3.328219378958525
South Florida,43,-0.023013724739841566,1.6916875970072331
Southern Miss,44,-0.04663225823493338,-3.003296374026044
Stanford,45,-0.02764443929778689,-1.9870060677692916
Syracuse,44,0.02345824039515987,-3.094342520007497
TCU,45,0.12454417940614153,4.598272598832835
Temple,44,-0.0945150554750215,-4.4109799298539
Tennessee,44,0.09320764004829644,6.596154276569863
Texas,50,0.11942534749681151,5.99626565119811
Texas A&M,44,0.06875554582612287,4.231263553942069
Texas State,43,-0.09913825796701209,-0.7049835584678321
Texas Tech,45,0.03432451211806613,2.030936872849753
Toledo,46,-0.013300572417018985,-0.29006038360492853
Troy,47,0.11046801015809028,2.5089250576584927
Tulane,49,0.19859062197178165,4.770933086924929
Tulsa,43,-0.14273308219175665,-8.598284957104903
UAB,43,-0.18135010302354979,-7.185507694016147
UCF,45,-0.1686292723778418,-4.029702479869021
UCLA,46,-0.04600223070252989,-3.9541171278246026
UConn,42,0.07287961890050394,2.4749833081167862
UL Monroe,44,-0.05752550993620189,-4.117375104862105
UNLV,46,0.2012185375942351,8.7563127134608
USC,48,0.07188621964266682,3.727762065948443
UTEP,40,-0.22707386768045462,-6.313486825108053
UTSA,45,-0.06771459509885171,-4.05668488791224
Utah,45,0.06183854558198946,4.597250155491487
Utah State,43,-0.003868051673129422,-0.9451858746447241
Vanderbilt,44,0.1423302553033881,7.767032724423273
Virginia,43,0.015443338983057176,1.366105715585626
Virginia Tech,45,-0.1734219731108855,-3.075750239640878
Wake Forest,43,-0.03528278806649996,-1.8185414863428073
Washington,46,0.18337065499582256,5.760488137697569
Washington State,44,0.07242981403240577,6.714468780383812
West Virginia,44,-0.03328791019370365,-5.2649816570008126
Western Kentucky,41,0.07881168027238035,3.9954031090601423
Western Michigan,45,-0.06438666932876734,-5.270090758754087
Wisconsin,46,-0.17848445256133322,-7.342520678505192
Wyoming,43,-0.011784203403999645,-2.449052976125726
