season,cut,team,D
2022,3,Air Force,0.01213499754616611
2022,3,Akron,-0.031144587795717295
2022,3,Alabama,0.01331842177735784
2022,3,App State,-0.0006295648880367171
2022,3,Arizona,-0.003253690342685369
2022,3,Arizona State,-0.01659500681994925
2022,3,Arkansas,0.012799496522301439
2022,3,Arkansas State,0.002565475207713125
2022,3,Army,-0.01628472167875626
2022,3,Auburn,0.006372351565056363
2022,3,Ball State,-0.004950175780173838
2022,3,Baylor,0.019188092341938447
2022,3,Boise State,-0.007997218600292368
2022,3,Boston College,-0.012859885906099365
2022,3,Bowling Green,-0.002506180256922369
2022,3,Buffalo,-0.03228173975716934
2022,3,California,-0.02218291559659269
2022,3,Central Michigan,-0.008337077291840524
2022,3,Charlotte,-0.024011867554831284
2022,3,Cincinnati,0.009519043387178686
2022,3,Clemson,0.016317416485376462
2022,3,Coastal Carolina,-0.002290315196117748
2022,3,Colorado,-0.047985658696200084
2022,3,Colorado State,-0.01866619718498734
2022,3,Duke,0.02467891613413271
2022,3,East Carolina,-0.0014586407181186682
2022,3,Eastern Michigan,-0.003553370686083225
2022,3,Florida,-0.001511762052227276
2022,3,Florida Atlantic,-0.011500433480020195
2022,3,Florida International,-0.02094481142022744
2022,3,Florida State,-0.0014680719036196887
2022,3,Fresno State,-0.014072169295075904
2022,3,Georgia,0.019384391772024393
2022,3,Georgia Southern,-0.01411543524805765
2022,3,Georgia State,-0.027558023687316458
2022,3,Georgia Tech,-0.017920934118997537
2022,3,Hawai'i,-0.024942964017552
2022,3,Houston,-0.015495447917683414
2022,3,Illinois,0.0005129365507202058
2022,3,Indiana,-0.011365004990202552
2022,3,Iowa,0.0070638436190184175
2022,3,Iowa State,0.01196841311383993
2022,3,James Madison,0.01754724853393341
2022,3,Kansas,0.02077311965442001
2022,3,Kansas State,0.009278786531490554
2022,3,Kent State,-0.0006720600520659605
2022,3,Kentucky,-0.003507552702915692
2022,3,LSU,0.009595308656474122
2022,3,Louisiana,0.0038626693273112966
2022,3,Louisiana Tech,-0.02174081411308533
2022,3,Louisville,-0.02395623843616801
2022,3,Marshall,-0.00724377623274777
2022,3,Maryland,0.007903310054712273
2022,3,Massachusetts,-0.019355803881184457
2022,3,Memphis,0.013066536287231425
2022,3,Miami,0.013794076760907692
2022,3,Miami (OH),-0.01968418267458569
2022,3,Michigan,0.02172927732419704
2022,3,Michigan State,0.011155015627757586
2022,3,Middle Tennessee,-0.0005738114446965403
2022,3,Minnesota,0.03002680910365067
2022,3,Mississippi State,-0.0010329666129331016
2022,3,Missouri,-0.004399606162249433
2022,3,NC State,-0.0031084956375163003
2022,3,Navy,-0.006138502796070281
2022,3,Nebraska,0.00046460577167501364
2022,3,Nevada,-0.0300317100055888
2022,3,New Mexico,-0.02718066212866343
2022,3,North Carolina,-0.0007081408883015045
2022,3,North Texas,-0.01079851233058629
2022,3,Northern Illinois,-0.009914379433787026
2022,3,Northwestern,-0.0026226004638487815
2022,3,Notre Dame,0.006613395822959622
2022,3,Ohio,-0.016034571049470103
2022,3,Ohio State,0.016607808772220282
2022,3,Oklahoma,0.007135603716398415
2022,3,Oklahoma State,0.014919681812983976
2022,3,Old Dominion,-0.015598246871043388
2022,3,Ole Miss,0.01657308375632413
