team,ret_prod
Air Force,0.574
Akron,0.918
Alabama,0.264
App State,0.379
Arizona,0.649
Arizona State,0.155
Arkansas,0.145
Arkansas State,0.300
Army,0.802
Auburn,0.144
BYU,0.785
Ball State,0.057
Baylor,0.602
Boise State,0.663
Boston College,0.156
Bowling Green,-0.062
Buffalo,-0.008
California,0.583
Central Michigan,0.540
Charlotte,0.409
Cincinnati,0.083
Clemson,0.414
Coastal Carolina,0.154
Colorado,0.137
Colorado State,0.396
Delaware,0.849
Duke,0.171
East Carolina,0.136
Eastern Michigan,0.721
Florida,0.691
Florida Atlantic,0.684
Florida International,0.316
Florida State,0.401
Fresno State,0.383
Georgia,0.687
Georgia Southern,0.058
Georgia State,0.465
Georgia Tech,0.126
Hawai'i,0.645
Houston,0.812
Illinois,0.211
Indiana,0.166
Iowa,0.342
Iowa State,0.017
Jacksonville State,0.495
James Madison,0.080
Kansas,0.181
Kansas State,0.714
Kennesaw State,0.061
Kent State,0.641
Kentucky,0.193
LSU,0.212
Liberty,0.383
Louisiana,0.919
Louisiana Tech,0.639
Louisville,0.348
Marshall,0.988
Maryland,0.540
Massachusetts,-0.567
Memphis,0.056
Miami,0.369
Miami (OH),0.139
Michigan,0.692
Michigan State,0.209
Middle Tennessee,0.325
Minnesota,0.649
Mississippi State,0.339
Missouri,0.420
Missouri State,0.313
NC State,0.599
Navy,0.138
Nebraska,0.463
Nevada,0.355
New Mexico,0.582
New Mexico State,0.244
North Carolina,0.278
North Texas,0.025
Northern Illinois,0.437
Northwestern,0.885
Notre Dame,0.512
Ohio,0.625
Ohio State,0.683
Oklahoma,0.632
Oklahoma State,0.000
Old Dominion,0.092
Ole Miss,0.503
Oregon,0.753
Oregon State,0.579
Penn State,0.076
Pittsburgh,0.397
Purdue,0.475
Rice,0.394
Rutgers,0.444
SMU,0.569
Sam Houston,0.577
San Diego State,0.987
San José State,0.038
South Alabama,0.786
South Carolina,0.690
South Florida,0.126
Southern Miss,0.902
Stanford,0.213
Syracuse,0.350
TCU,0.224
Temple,0.370
Tennessee,0.353
Texas,0.721
Texas A&M,0.728
Texas State,0.760
Texas Tech,0.534
Toledo,0.663
Troy,0.353
Tulane,0.210
Tulsa,0.413
UAB,0.796
UCF,0.248
UCLA,0.570
UConn,0.023
UL Monroe,0.387
UNLV,0.154
USC,0.592
UTEP,-0.011
UTSA,0.669
Utah,0.679
Utah State,0.652
Vanderbilt,0.354
Virginia,0.095
Virginia Tech,0.367
Wake Forest,0.142
Washington,0.544
Washington State,0.913
West Virginia,0.140
Western Kentucky,0.837
Western Michigan,0.997
Wisconsin,0.310
Wyoming,0.230
