,mean,p05,p95,p_zero,within_team
ball_security:QB,0.0007301438240301762,0.0,0.005637907218394161,0.9,0.0072093920812065755
ball_security:RB,0.020658106181356134,0.0,0.04333393464783764,0.11,0.0223242143084466
coverage:DB,0.07185435678985262,0.04347678620086519,0.10235633182317896,0.0,0.05878360834159673
coverage:LB,0.030429698191355395,0.0,0.06025989836934177,0.055,0.026454379619562058
discipline:DB,0.008780543195630786,0.0,0.032719552591001066,0.415,0.0
discipline:DL,0.020423262137905875,0.0,0.04961418640983378,0.105,0.00759046913997878
discipline:OL,0.012898758021328359,0.0,0.03475229625206466,0.29,0.0017240333495632612
discipline:WR,0.02169082885739146,0.0,0.04674177545180986,0.12,0.020108912876609628
hands:TE,0.0019087231770911295,0.0,0.011543057361166174,0.78,0.009002955202931286
hands:WR,0.0034724797300550257,0.0,0.02119944789958666,0.7,0.0050289008361200805
pass_protection:OL,0.029628482507551374,0.0,0.06135044062781245,0.07,0.01832357106120529
pass_protection:TE,0.0020553466185613623,0.0,0.013372407903268402,0.81,0.00011388904675348871
pass_rush:DB,0.004067278853756841,0.0,0.021361041233797336,0.625,0.0038882578398549295
pass_rush:DL,0.05881327133584089,0.0282455237028576,0.0911138110566624,0.0,0.019988109900340112
pass_rush:LB,0.0443393733331062,0.012044265362790579,0.07533751964379494,0.02,0.01364157616770509
passing,0.09421092123721983,0.06758744951323756,0.12084814199764775,0.0,0.10226787942308335
qb_pressure,0.03994875723737627,0.011422911117938174,0.06890137733170427,0.005,0.0566991267312316
qb_rushing,0.037150716106817375,0.012244249658696041,0.060591858523882026,0.005,0.04827070970072777
receiving:TE,0.04035829469899741,0.01776335318351139,0.06740479952537828,0.0,0.05054038196084872
receiving:WR,0.04017282767847516,0.013402474396990128,0.06672506665385385,0.02,0.035905884724995944
run_blocking:OL,0.06825141777587986,0.03613341383892646,0.09868016045119987,0.0,0.06419598663138278
run_blocking:RB,0.02403435254899527,0.0,0.05039420502425028,0.08,0.014087952602535429
run_blocking:TE,0.03389998079045778,0.006913587271989797,0.060664577271383587,0.03,0.03347459880481267
run_defense:DB,0.03823268332099046,0.012682096631528795,0.06269157286908345,0.005,0.0703529391353567
run_defense:DL,0.0911213323599155,0.06501257132778587,0.11910072496449922,0.0,0.07321859199125566
run_defense:LB,0.041604319295398096,0.011104930697107551,0.0723390269125444,0.0,0.07540237572471925
rushing_group,0.0658042073911176,0.03701243851132163,0.09471495270913953,0.0,0.0596101420622487
tackling:DB,0.0027166201223535152,0.0,0.01698656934993487,0.745,0.0001462827083724159
tackling:DL,0.010746216732277818,0.0,0.0347405224627216,0.335,0.004775935091660615
tackling:LB,0.00027064924092642825,0.0,0.0,0.955,0.0030741426054893507
yac:RB,0.002363015852202446,0.0,0.012352492076759097,0.715,0.0034647589300878428
yac:TE,0.00017856181611595448,0.0,0.0,0.965,0.0
yac:WR,0.037184473039669666,0.00819789661070399,0.06366332285709445,0.0,0.09033004139931732
