facet,noise_A,change_C,rho,rho_median_workload,median_snaps,n_pairs
CB-LB-S_defense_penalty,145.36300831468884,1.1687230610320702,0.13483432528369357,0.47332243364243176,276.0,6689
CB-S_interceptions,35.19708506255104,,0.12007287343622403,0.12007287343622397,40.0,1234
CB-S_pass_rush,21.720345786732906,0.018685082665959876,0.1767108013104825,0.02,19.0,254
CB-S_run,42.59356877127661,1.2182459453916317,0.1635770052898559,0.7179233856206847,151.0,3825
CBS_core,488.77745906929346,0.6516785421815623,0.20001382783217342,0.02,303.0,4222
CB_catch_rate,48.554256795294265,-0.4316876913796069,0.2420428821527702,0.02,45.0,786
CB_core,171.9609802746231,,0.17326451791046588,0.17326451791046593,208.0,1608
CB_coverage,36.516712784703415,1.0503463789973788,0.20404148668839595,0.7971293734183144,180.0,1874
CB_pass_break_ups,41.021421476431065,,0.08841285607930964,0.08841285607930971,45.0,786
CB_qb_rating_against,34.12884681119955,0.2261932858672481,0.14142485244845202,0.24158118197334333,45.0,786
DI-ED_defense_penalty,148.3882258864756,0.6463348666385593,0.28251492608103157,0.39185153325214916,244.0,4694
DI-ED_tackle,176.54647872489494,0.7501629672215825,0.1384197823404907,0.30766086774551005,255.0,4439
DI_core,89.77944920410427,,0.39745336104628004,0.39745336104628004,149.0,1777
DI_pass_rush,71.28971625412214,,0.46798719213341694,0.4679871921334169,134.0,2024
DI_run,22.742818982891443,0.7865590258980131,0.42218303701873244,0.8250552385931428,130.0,2055
DI_stops,94.24527283432198,,0.3544844326416303,0.3544844326416303,146.0,1792
ED_core,66.25319665495758,,0.4942504072140644,0.4942504072140643,131.0,1763
ED_qb_rating_against,120.77412592763403,,0.18395860859706736,0.18395860859706736,148.0,1512
ED_run,40.66875027718513,0.7520867152723774,0.33240246000244783,0.6746499977825189,125.0,1725
ED_sacks,105.54052547574773,,0.28688834138008285,0.2868883413800829,148.0,1512
IOL_pass_block,112.930159771103,0.42682970437320056,0.3697131341606548,0.6051393014996398,286.0,1733
IOL_penalties,369.6360908254966,,0.2709347320996123,0.2709347320996123,507.0,1902
IOL_pressures_allowed,210.56650172413222,,0.3294060454645471,0.3294060454645471,314.0,1539
IOL_run_block,108.03942533371243,,0.4729784130062808,0.47297841300628085,205.0,2062
IOL_sacks_allowed,264.43259736043535,,0.1578579701896964,0.15785797018969638,314.0,1539
LB_coverage,108.94963947297117,,0.18082977839871298,0.18082977839871295,133.0,1786
LB_missed_tackle_rate,276.75783131736557,-0.09853406322162614,0.2750944488669581,0.0955626427537073,306.0,1866
LB_pass_rush,13.745825017272296,0.9386875181798008,0.28910972985862465,0.6647359751884806,41.0,1050
