,rf,ridge
pass_qb,0.3407063505026258,0.13359022085499261
cov_db,0.21916579142534875,0.13905819405494368
rdef_sec,0.06768698910546135,0.0961600817435465
rdef_dl,0.0512645897688596,0.06044087078606496
rblk_ol,0.03973679981762064,0.05046111187783647
run_rb,0.03302979865307459,0.0715783011099972
cov_lb,0.024501065436691106,0.057892414037669516
run_qb,0.023653737090471676,0.06256404395810049
prsh_sec,0.02293643500563255,0.03894752065129302
recv_wr,0.022086745936417095,0.07937889396107209
prsh_dl,0.020897005581584027,0.03902180431793581
pblk_ol,0.02067781635835169,0.04310155499336827
rblk_skill,0.02054488999512743,0.036643114100657855
recv_te,0.02001300314579855,0.048332478620212505
tackle,0.018826855519787192,0.0
recv_rb,0.013107290597844844,0.019159633140569735
pen_off,0.012256760984080453,0.008013061697057117
pblk_skill,0.010964337698764757,0.0006958865224876665
pen_def,0.009256735750436893,0.01496081357219446
fumble,0.00868700162602115,0.0
