,rf
CB-LB-S_defense_penalty,0.007056041627571999
CB-S_interceptions,0.00919862405175272
CB-S_pass_rush,0.003240215090036711
CB-S_run,0.03006290458489683
CBS_core,0.0006848024469462667
CB_catch_rate,0.01715067051629877
CB_core,0.004168541144640577
CB_coverage,0.012200423669332786
CB_pass_break_ups,0.008472434785741867
CB_qb_rating_against,0.010512734815786202
DI-ED_defense_penalty,0.016125198852927503
DI-ED_tackle,0.008634584431564599
DI_core,0.0126109298456391
DI_pass_rush,0.013473368529377349
DI_run,0.03076766559810835
DI_stops,0.03413445789359306
ED_core,0.017469196103255882
ED_qb_rating_against,0.009040069323628852
ED_run,0.032641177805920574
ED_sacks,0.006673727474620107
IOL_pass_block,0.006756632599671852
IOL_penalties,0.007130879724703743
IOL_pressures_allowed,0.004706095431390972
IOL_run_block,0.031858190830077224
IOL_sacks_allowed,0.0020186394268734563
LB_coverage,0.023881650529123517
LB_missed_tackle_rate,8.300834356333523e-05
LB_pass_rush,0.021547634775017494
LB_run,0.022708936978453234
LB_stops,0.016019755045091802
LB_tackle,7.968602067091197e-05
LB_tackles,4.3427572460165943e-05
OT_pass_block,0.010016837578618404
OT_penalties,0.00597993811045477
OT_pressures_allowed,0.006419423822080293
OT_run_block,0.029813078079668782
OT_sacks_allowed,0.0026212183602685175
QB-RB-TE-WR_offense_penalty,0.017268357704075386
QBWR_core,0.03249851713649433
QBWRcfbd_core,0.007086927467725622
QB_btt_rate,0.019768747562015895
QB_hands_fumble,0.0005963529939209864
QB_pressure_to_sack_rate,0.01691504957358757
QB_run,0.02185519203783524
QB_sack_pct,0.01603103853330246
QB_twp_rate,0.04098420586933139
RB_breakaway_pct,0.00814530948593467
RB_core,0.01135317556716386
RB_hands_fumble,0.01641019493965088
RB_pass_route,0.015294495845249988
RB_run,0.0034787301509205714
RB_run_block,0.018779590940900107
RB_yards_after_catch,0.0018434241308788871
RB_ypa,0.0078056310502668605
S_catch_rate,0.012603031557893975
S_coverage,0.00573614722076126
S_yards,0.009801023906824729
TE_core,0.014375010218196448
TE_first_downs,0.010782678387441336
TE_hands_drop,0.001509040448806646
TE_pass_block,0.0016444069541162961
TE_positive_epa_pct,0.00604229652975567
TE_run_block,0.026676391654864417
TE_targeted_qb_rating,0.00604229652975567
TE_yards_after_catch,0.00013595722736793397
WR_avg_depth_of_target,0.009345673134428746
WR_avoided_tackles,0.014785504972802878
WR_contested_catch_rate,0.002607346580420485
WR_drop_rate,0.001688766132468511
WR_first_downs,0.005646202708802544
WR_hands_drop,0.0010662732383766426
WR_offense,0.004825808809333442
WR_pass_route,0.0038583529470019393
WR_touchdowns,0.006683406936317104
WR_yards_after_catch,0.016172503251124862
WR_yards_per_reception,0.004068382950705601
WR_yprr,0.003620183746348345
cfbd_core,0.007014700497258608
cfbd_havoc_dl,0.015502307958957535
cfbd_havoc_lb,0.024019965022909595
cfbd_recv_rb,0.017893415715193345
cfbd_recv_te,0.008041497069869993
cfbd_recv_wr,0.007465470079826762
cfbd_run_qb,0.009987657119913928
cfbd_run_rb,0.005900701117988625
cfbd_tackle_db,0.0022445439809372155
cfbd_tackle_lb,9.531258414568678e-05
