team,roster_position,broad_group,unit,depth,player,class,is_transfer,redshirt
Air Force,WR-X,WR,OFF,1,Jonah Dawson,JR,False,False
Air Force,WR-X,WR,OFF,2,Adam Hrynciw,SR,False,False
Air Force,WR-Z,WR,OFF,1,Matt Long,JR,False,False
Air Force,LT,OL,OFF,1,Nathan Elwood,SR,False,False
Air Force,LT,OL,OFF,2,Brandon Nazworth,JR,False,False
Air Force,LG,OL,OFF,1,Alec Falk,SR,False,False
Air Force,LG,OL,OFF,2,TJ Tarascio,SR,False,False
Air Force,LG,OL,OFF,3,Johnique Thomas,JR,False,False
Air Force,C,OL,OFF,1,Rudy Varela,SR,False,False
Air Force,RG,OL,OFF,1,Jon Ashford,JR,False,False
Air Force,RG,OL,OFF,2,Brody Smith,JR,False,False
Air Force,RT,OL,OFF,1,Luke Vonderhaar,SR,False,False
Air Force,RT,OL,OFF,2,Griffin Stalfort,SR,False,False
Air Force,TE,TE,OFF,1,Simon Kibbee,SR,False,False
Air Force,QB,QB,OFF,1,Liam Szarka,JR,False,False
Air Force,QB,QB,OFF,2,Josh Johnson,SR,False,False
Air Force,QB,QB,OFF,3,Kemper Hodges,SR,False,False
Air Force,RB,RB,OFF,1,Owen Allen,SR,False,False
Air Force,RB,RB,OFF,2,Jalen Rashad Turner,SR,False,False
Air Force,FB,RB,OFF,1,Rocco Conti,SR,False,False
Air Force,FB,RB,OFF,2,Gage LaDue,JR,False,False
Air Force,FB,RB,OFF,3,Omari Elias,JR,False,False
Air Force,DE,EDGE,DEF,1,DeSean Davis,JR,False,False
Air Force,DE,EDGE,DEF,2,Grady Forsythe,JR,False,False
Air Force,DE,EDGE,DEF,3,Antonio Menard,JR,False,False
Air Force,NT,DT,DEF,1,Lukia Rawls Jr.,SR,False,False
Air Force,NT,DT,DEF,2,Jayden Oquendo,SR,False,False
Air Force,DT,DT,DEF,1,Andrew Tillett,SR,False,False
Air Force,DT,DT,DEF,2,Chaz Barnett,JR,False,False
Air Force,OLB,LB,DEF,1,Isaac Hubert,SR,False,False
Air Force,OLB,LB,DEF,2,Jaylin Reese,JR,False,False
Air Force,WLB,LB,DEF,1,Blake Fletcher,SR,False,False
Air Force,WLB,LB,DEF,2,Brody Bujnoch,SR,False,False
Air Force,WLB,LB,DEF,3,Vinnie Canosa,JR,False,False
Air Force,MLB,LB,DEF,1,Dallas Daley,SR,False,False
Air Force,MLB,LB,DEF,2,Luke Fisher,SR,False,False
Air Force,MLB,LB,DEF,3,Brodie Mitchell,JR,False,False
Air Force,SPUR,CB,DEF,1,Alexander Perez,SO,False,False
Air Force,SPUR,CB,DEF,2,Nick Beckwith,JR,False,False
Air Force,LCB,CB,DEF,1,Korey Johnson,JR,False,False
Air Force,LCB,CB,DEF,2,RJ Reedus,SO,False,False
Air Force,SS,SAF,DEF,1,Max Mustell,SO,False,False
Air Force,SS,SAF,DEF,2,Houston Hendrix,SR,False,False
Air Force,SS,SAF,DEF,3,JT Tomescko,JR,False,False
Air Force,FS,SAF,DEF,1,Roger Jones Jr.,JR,False,False
Air Force,FS,SAF,DEF,2,Jet Wiley,SR,False,False
Air Force,RCB,CB,DEF,1,Mikhail Seiken,JR,False,False
Air Force,RCB,CB,DEF,2,Ehimen Oyamendan,SO,False,False
Air Force,RCB,CB,DEF,3,Jordan Elie-Stuart,SO,False,False
Akron,WR-X,WR,OFF,1,Cameron Monteiro,SO,True,True
Akron,WR-X,WR,OFF,2,Miles Burris,JR,True,False
Akron,WR-X,WR,OFF,3,Brandon Hills,JR,True,True
Akron,WR-Z,WR,OFF,1,Marcel Williams,SO,True,True
Akron,WR-Z,WR,OFF,2,Titus Myers,JR,True,False
Akron,WR-Z,WR,OFF,3,Luke Sivon,FR,False,True
Akron,WR-SL,WR,OFF,1,Kyan Mason,SO,False,True
Akron,WR-SL,WR,OFF,2,Jean Louis III,JR,False,True
Akron,WR-SL,WR,OFF,3,Gentz Hilburn,SO,True,False
Akron,LT,OL,OFF,1,Ian Falkner,SR,True,True
Akron,LT,OL,OFF,2,Dayne Shor,SR,True,True
Akron,LG,OL,OFF,1,Amarie Archer,SR,True,True
Akron,LG,OL,OFF,2,Nate Hampton,SO,True,False
Akron,LG,OL,OFF,3,Nick Stopiak,SR,False,True
Akron,C,OL,OFF,1,Colin Lyons,GR,False,False
Akron,C,OL,OFF,2,Brandon Smith,JR,True,True
Akron,C,OL,OFF,3,Max Mobley,JR,False,True
Akron,RG,OL,OFF,1,Carlos Slayden,SR,True,True
Akron,RG,OL,OFF,2,Melvin Puckett,SO,True,True
Akron,RG,OL,OFF,3,Alex Fox,SR,True,True
Akron,RT,OL,OFF,1,Allen Jones Jr.,SR,True,True
Akron,RT,OL,OFF,2,Jonas Mann,JR,False,True
Akron,TE,TE,OFF,1,Conner Cravaack,JR,False,True
Akron,TE,TE,OFF,2,Elijah Alexander,SO,True,False
Akron,TE,TE,OFF,3,Wyatt Hook,SO,True,True
Akron,QB,QB,OFF,1,Reese Poffenbarger,GR,True,False
Akron,QB,QB,OFF,2,Brayden Roggow,SO,False,True
Akron,QB,QB,OFF,3,Cibastian Broughton,FR,False,True
Akron,RB,RB,OFF,1,Jordan Gant,SR,True,True
Akron,RB,RB,OFF,2,Sean Patrick,SO,False,True
Akron,RB,RB,OFF,3,Marquese Williams,JR,True,True
Akron,LDE,EDGE,DEF,1,Cyrus Durham,SR,True,True
Akron,LDE,EDGE,DEF,2,Jahvon Frazier,SO,False,True
