group,hist,sd
CB,none,0.03618986463918076
CB,one,0.06561862292337166
CB,two+,0.08665643799071149
DT,none,0.037144205763196034
DT,one,0.08578213653914245
DT,two+,0.11573347687087011
EDGE,none,0.034006994698888904
EDGE,one,0.0498494974261523
EDGE,two+,0.09675021171771415
IOL,none,0.006607374648969511
IOL,one,0.07731809594090346
IOL,two+,0.03465861229772277
LB,none,0.03909380814327852
LB,one,0.0796479355575005
LB,two+,0.0996542215651249
OT,none,0.026232069464951935
OT,one,0.05422867724014967
OT,two+,0.08457264773712983
QB,none,0.13817578608132172
QB,one,0.25757793261618034
QB,two+,0.35122244205813336
RB,none,0.06950350909832251
RB,one,0.14061254312003293
RB,two+,0.13877051664212714
SAF,none,0.021064318405744128
SAF,one,0.05020011718378209
SAF,two+,0.05136865929574695
TE,none,0.04254819083493853
TE,one,0.08483132744746565
TE,two+,0.14333340622607302
WR,none,0.04237005927801549
WR,one,0.07981624977648535
WR,two+,0.11550891056235231
