team,roster_position,broad_group,unit,depth,player,class,is_transfer,redshirt,projected_slot,conference,eligibility,is_starter,match_group,player_id,match_type,prev_team,transferred_before,war_2014,war_2015,war_2016,war_2017,war_2018,war_2019,war_2021,war_2022,war_2023,war_2024,war_2025,snaps_2014,snaps_2015,snaps_2016,snaps_2017,snaps_2018,snaps_2019,snaps_2021,snaps_2022,snaps_2023,snaps_2024,snaps_2025,prior_seasons,has_history,pinned_starter,available,war_lag1,war_lag2,war_lag3,snaps_lag1,snaps_lag2,rate_lag1,share_lag1,class_num,prior_rank,group_code,team_massey,team_rating,stars,rating,proj_war,imputed,ea_war,ea_ovr,prior_snaps,proj_war_pff,war_source
Wyoming,RCB,CB,DEF,1,Logan Mackey,JR,0,True,2.0,Mountain West,JR,True,CB,,unmatched,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,True,,,,,,,0.0,3.0,4.0,0,-0.0442849817512368,0.7907722433460076,,,0.0735118215768406,True,0.1121787746762823,74.0,0.0,0.0242052643303866,EA
Wyoming,LCB,CB,DEF,1,Ian Bell,SR,0,False,1.0,Mountain West,SR,True,CB,174807,name+team,Wyoming,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093044637853981,0.0117293140615609,0.006854944137552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,217.0,79.0,3,True,False,True,0.006854944137552,0.0117293140615609,0.0093044637853981,79.0,217.0,8.677144477913925e-05,0.0340223944875107,4.0,2.0,0,-0.0442849817512368,0.7907722433460076,3.0,0.8094,0.0692558716413683,False,0.0960734236761829,72.0,79.0,0.0291635764986432,EA
Air Force,LG,IOL,OFF,1,TJ Tarascio,SR,0,False,2.0,Mountain West,SR,True,OL,186448,name+team,Air Force,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006963960497671,0.0312830567869825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,273.0,2,True,False,True,0.0312830567869825,0.006963960497671,,273.0,34.0,0.0001145899516006,0.1091563374650139,4.0,2.0,3,-0.0158325407672977,0.7796453201970444,,,0.0631153077576011,False,0.0504884848203346,74.0,273.0,0.0436201279644515,EA
Air Force,C,IOL,OFF,1,Rudy Varela,SR,0,False,3.0,Mountain West,SR,True,OL,,unmatched,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,True,,,,,,,0.0,4.0,4.0,3,-0.0158325407672977,0.7796453201970444,,,0.0479501829027397,True,0.0215019645890006,71.0,0.0,0.0298294079930419,EA
Air Force,WR-Z,WR,OFF,1,Matt Long,JR,0,False,2.0,Mountain West,JR,True,WR,198041,name+team,Air Force,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0117680103425808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,1,True,False,True,0.0117680103425808,,,199.0,,5.913573036472764e-05,0.1870304733318432,3.0,1.0,10,-0.0158325407672977,0.7796453201970444,,,0.0040170760688777,False,-0.2300965042533026,71.0,199.0,0.0406016769380958,EA
Air Force,WR-X,WR,OFF,1,Jonah Dawson,JR,0,False,1.0,Mountain West,JR,True,WR,204591,name+team,Air Force,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0233707359687164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,1,True,False,True,0.0233707359687164,,,66.0,,0.000354102060132,0.0620302072356866,3.0,2.0,10,-0.0158325407672977,0.7796453201970444,,,0.0760107074533534,False,,,66.0,0.0760107074533534,PFF
Air Force,WR-SL,WR,OFF,1,Astin Hange,JR,0,False,10.0,Mountain West,JR,True,WR,,unmatched,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,True,,,,,,,0.0,3.0,4.0,10,-0.0158325407672977,0.7796453201970444,,,0.0235542551104829,True,,,0.0,0.0235542551104829,PFF
James Madison,WR-SL,WR,OFF,1,Braeden Wisloski,SR,0,False,3.0,Sun Belt,SR,True,WR,170213,name+team,James Madison,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066823381288429,0.011701100842141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,275.0,2,True,False,True,0.011701100842141,0.0066823381288429,,275.0,46.0,4.2549457607785454e-05,0.1645721125074805,4.0,1.0,10,0.0226422277304807,0.8117186046511627,3.0,0.8608,0.1139808671661792,False,0.2024042731794617,83.0,275.0,0.0563395855417132,EA
James Madison,WR-Z,WR,OFF,1,Corey Scott,JR,0,True,2.0,Sun Belt,JR,True,WR,,unmatched,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,True,,,,,,,0.0,3.0,4.0,10,0.0226422277304807,0.8117186046511627,,,0.0299726061479741,True,-0.0115145454147718,67.0,0.0,0.0385717292398732,EA
James Madison,WR-X,WR,OFF,1,Jeremiah Harrison,SO,0,False,1.0,Sun Belt,SO,True,WR,,unmatched,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,True,,,,,,,0.0,2.0,5.0,10,0.0226422277304807,0.8117186046511627,,,0.0432684429659123,True,0.0066341043951312,74.0,0.0,0.0268513369335183,EA
Jacksonville State,NB,CB,DEF,1,Rob Billings IV,JR,1,True,3.0,Conference USA,JR,True,CB,,unmatched,Clemson,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,True,,,,,,,0.0162556053811659,3.0,4.0,0,-0.0375093206908668,0.8106865853658536,4.0,0.8917,0.0492126680828481,True,0.0298641077978269,72.0,0.0,0.0203958356321225,EA
Jacksonville State,FS,SAF,DEF,1,Caleb Nix,SR,0,True,2.0,Conference USA,SR,True,SAF,156242,name+team,Jacksonville State,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014773967984309,0.0,0.1107697593202244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,590.0,2,True,False,True,0.1107697593202244,,-0.0014773967984309,590.0,,0.00018774535478,0.2342199285430726,4.0,1.0,8,-0.0375093206908668,0.8106865853658536,,,0.0824811058918544,False,0.2519742099027982,85.0,590.0,0.0824811058918544,PFF
Jacksonville State,SS,SAF,DEF,1,Marc Woods,SO,0,True,1.0,Conference USA,SO,True,SAF,189813,name+team,Jacksonville State,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0215561480422873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,1,True,False,True,0.0215561480422873,,,131.0,,0.0001645507484144,0.0520047637951568,2.0,2.0,8,-0.0375093206908668,0.8106865853658536,3.0,0.8256,0.0613811286385227,False,0.06266100615044,74.0,131.0,0.039374093631144,EA
James Madison,RT,OT,OFF,1,Daniel Michel,JR,1,True,5.0,Sun Belt,JR,True,OL,175560,name+position,Florida International,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028397493114577,0.0260239236920441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,454.0,2,True,False,True,0.0260239236920441,-0.0028397493114577,,454.0,87.0,5.732141782388568e-05,0.2619734564339296,3.0,1.0,5,0.0226422277304807,0.8117186046511627,3.0,0.8237,0.0462694121422728,False,0.0590205593902597,74.0,454.0,0.0462694121422728,PFF
James Madison,RG,IOL,OFF,1,DJ Fox,SR,0,True,4.0,Sun Belt,SR,True,OL,,unmatched,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,True,,,,,,,0.0,4.0,4.0,3,0.0226422277304807,0.8117186046511627,,,0.0426598020349445,True,0.0088634450242539,73.0,0.0,0.0373555703779997,EA
James Madison,C,IOL,OFF,1,Zach Greenberg,GR,0,False,3.0,Sun Belt,GR,True,OL,190848,name+team,James Madison,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023709524124864,0.0845471524018387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,858.0,2,True,False,True,0.0845471524018387,0.023709524124864,,858.0,143.0,9.853980466414768e-05,0.2955563210471925,5.0,1.0,3,0.0226422277304807,0.8117186046511627,,,0.0828557161256381,False,0.2104560003112692,81.0,858.0,0.0828557161256381,PFF
Wyoming,LT,OT,OFF,1,Rex Johnsen,SR,0,True,1.0,Mountain West,SR,True,OL,157668,name+team,Wyoming,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0090789825476487,0.0624283212791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,802.0,2,True,False,True,0.0624283212791239,-0.0090789825476487,,802.0,426.0,7.784079959990511e-05,0.5059936908517351,4.0,1.0,5,-0.0442849817512368,0.7907722433460076,3.0,0.8156,0.1004424663916214,False,0.11636656581494,78.0,802.0,0.1004424663916214,PFF
Wyoming,WR-SL,WR,OFF,1,Deion DeBlanc,SO,0,False,3.0,Mountain West,SO,True,WR,200073,name+team,Wyoming,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095974172255584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,1,True,False,True,0.0095974172255584,,,163.0,,5.887986027949939e-05,0.1051612903225806,2.0,2.0,10,-0.0442849817512368,0.7907722433460076,3.0,0.8622,0.0660012627407061,False,0.063471504839054,72.0,163.0,0.0292192760052376,EA
Wyoming,LDE,EDGE,DEF,1,Jack Dunkley,SR,0,False,1.0,Mountain West,SR,True,EDGE,,unmatched,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,True,,,,,,,0.0,4.0,3.0,2,-0.0442849817512368,0.7907722433460076,,,0.1005802537094203,True,0.0663556548960467,72.0,0.0,0.0317476952721124,EA
Wyoming,RB,RB,OFF,1,Samuel Harris,SO,0,False,1.0,Mountain West,SO,True,RB,200065,name+team,Wyoming,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1634112005457019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,1,True,False,True,0.1634112005457019,,,272.0,,0.0006007764725944,0.3383084577114428,2.0,1.0,7,-0.0442849817512368,0.7907722433460076,3.0,0.8444,0.1988423324251337,False,0.2306846865134187,82.0,272.0,0.1706051001988974,EA
Wyoming,QB,QB,OFF,1,Tyler Hughes,SR,0,True,1.0,Mountain West,SR,True,QB,,unmatched,,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,True,,,,,,,0.0,4.0,2.0,6,-0.0442849817512368,0.7907722433460076,,,0.0988545811846314,True,0.5200056892123776,75.0,0.0,0.0988545811846314,PFF
