team,roster_position,broad_group,unit,depth,player,class,is_transfer,redshirt,conference,eligibility,is_starter,key,player_id,match_type,war_2014,war_2015,war_2016,war_2017,war_2018,war_2019,war_2021,war_2022,war_2023,war_2024,war_2025,snaps_2014,snaps_2015,snaps_2016,snaps_2017,snaps_2018,snaps_2019,snaps_2021,snaps_2022,snaps_2023,snaps_2024,snaps_2025,prior_seasons,has_history,pinned_starter,available,war_lag1,war_lag2,war_lag3,snaps_lag1,snaps_lag2,rate_lag1,share_lag1,class_num,group_code,team_massey,team_rating,stars,rating,proj_war,imputed
Air Force,DT,DT,DEF,1,Andrew Tillett,SR,0,False,Mountain West,SR,1,andrew tillett,186450,name+team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037406683330827,-0.0815484118554709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,228.0,2,True,False,True,-0.0815484118554709,-0.0037406683330827,,228.0,38.0,-0.000357668473050311,0.15702479338842976,4,1,-0.0032882857359206,0.7796453201970444,2.0,0.7883,0.08871991065399149,False
Air Force,OLB,LB,DEF,1,Isaac Hubert,SR,0,False,Mountain West,SR,1,isaac hubert,186428,name+team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4339104762416327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,1,True,False,True,0.4339104762416327,,,564.0,,0.0007693448160312637,0.3878954607977992,4,3,-0.0032882857359206,0.7796453201970444,,,0.34664196024141053,False
Air Force,WLB,LB,DEF,1,Blake Fletcher,SR,0,False,Mountain West,SR,1,blake fletcher,186420,name+team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0250952034542966,0.1177517974621718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,702.0,2,True,False,True,0.1177517974621718,0.0250952034542966,,702.0,245.0,0.00016773760322246696,0.46367239101717306,4,3,-0.0032882857359206,0.7796453201970444,3.0,0.825,0.20851198051878442,False
Air Force,MLB,LB,DEF,1,Dallas Daley,SR,0,False,Mountain West,SR,1,dallas daley,186414,name+team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0195233706656626,0.0220849247056282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,407.0,2,True,False,True,0.0220849247056282,-0.0195233706656626,,407.0,76.0,5.4262714264442754e-05,0.26882430647291944,4,3,-0.0032882857359206,0.7796453201970444,,,0.16548428369980267,False
Air Force,RB,RB,OFF,1,Owen Allen,SR,0,False,Mountain West,SR,1,owen allen,127306,name+team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0170462315700605,0.2192735099320575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,390.0,2,True,False,True,0.2192735099320575,0.0170462315700605,,390.0,145.0,0.0005622397690565577,0.27253668763102723,4,6,-0.0032882857359206,0.7796453201970444,,,0.24349614972518846,False
Wyoming,RDT,DT,DEF,1,Jayden Williams,JR,0,True,Mountain West,JR,1,jayden williams,174835,name+team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0327821913986718,0.0166061744236614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,366.0,2,True,False,True,0.0166061744236614,0.0327821913986718,,366.0,240.0,4.5372061266834425e-05,0.05014925373134328,3,1,-0.0415608745778135,0.7907722433460076,3.0,0.8756,0.16856197526397027,False
Wyoming,RDE,EDGE,DEF,1,Esaia Bogar,SR,1,False,Mountain West,SR,1,esaia bogar,200050,name+team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055093670575455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1,True,False,True,0.0055093670575455,,,200.0,,2.7546835287727498e-05,0.12217470983506414,4,2,-0.0415608745778135,0.7907722433460076,,,0.11441205830191487,False
Wyoming,WLB,LB,DEF,1,Gary Rutherford,SO,0,True,Mountain West,SO,1,gary rutherford,184968,name+team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0212686400185023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,1,True,False,True,-0.0212686400185023,,,69.0,,-0.0003082411596884391,0.03776683087027915,2,3,-0.0415608745778135,0.7907722433460076,,,0.10363776895777195,False
Wyoming,MLB,LB,DEF,1,Ethan Stuhlsatz,GR,1,False,Mountain West,GR,1,ethan stuhlsatz,171775,name+team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0771406699071416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,1,True,False,True,0.0771406699071416,,,268.0,,0.00028783832054903583,0.14668856048166393,5,3,-0.0415608745778135,0.7907722433460076,,,0.19902165614311784,False
Wyoming,LCB,CB,DEF,1,Ian Bell,SR,0,False,Mountain West,SR,1,ian bell,174807,name+team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0135161715685676,0.0163504476586397,0.0102276049556059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,217.0,79.0,3,True,False,True,0.0102276049556059,0.0163504476586397,0.0135161715685676,79.0,217.0,0.0001294633538684291,0.034037052994398964,4,0,-0.0415608745778135,0.7907722433460076,3.0,0.8094,0.1004803088506707,False
Wyoming,SS,SAF,DEF,1,Brooklyn Cheek,SO,1,True,Mountain West,SO,1,brooklyn cheek,188168,name+team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118195954458246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,1,True,False,True,0.0118195954458246,,,91.0,,0.00012988566423983078,0.056592039800995024,2,7,-0.0415608745778135,0.7907722433460076,3.0,0.8739,0.04725921650716241,False
Wyoming,FS,SAF,DEF,1,Jones Thomas,JR,0,True,Mountain West,JR,1,jones thomas,174829,name+team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0088412847016297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.0,1,True,False,True,-0.0088412847016297,,,634.0,,-1.3945244008879653e-05,0.39427860696517414,3,7,-0.0415608745778135,0.7907722433460076,,,0.06012849575654529,False
Ole Miss,RG,OL,OFF,1,Patrick Kutas,SR,1,True,SEC,SR,1,patrick kutas,163635,name+team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008854056058702,0.0524032761023435,0.0657026395165822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552.0,230.0,943.0,3,True,False,True,0.0657026395165822,0.0524032761023435,-0.008854056058702,943.0,230.0,6.967406099319427e-05,0.18766169154228857,4,4,0.0626646983402939,0.8921708133971291,4.0,0.8946,0.12210572743865605,False
Minnesota,DT,DT,DEF,1,Xion Chapman,JR,1,True,Big Ten,JR,1,xion chapman,198397,name+position,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1323392972098816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,1,True,False,True,0.1323392972098816,,,294.0,,0.00045013366397918914,0.17233294255568582,3,1,0.013506920846265,0.8346225806451613,,,0.28797501929852465,False
Minnesota,RUSH,EDGE,DEF,1,Jaxon Howard,JR,1,True,Big Ten,JR,1,jaxon howard,172479,name+team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030792538179797,-0.0350283799363988,-0.0189755160388231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,118.0,392.0,3,True,False,True,-0.0189755160388231,-0.0350283799363988,-0.0030792538179797,392.0,118.0,-4.840692867046709e-05,0.26558265582655827,3,2,0.013506920846265,0.8346225806451613,4.0,0.9416,0.13778251847220352,False
Minnesota,WLB,LB,DEF,1,Matt Kingsbury,JR,0,True,Big Ten,JR,1,matt kingsbury,173407,name+team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0079469636864982,0.0,0.0209355367942125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,259.0,2,True,False,True,0.0209355367942125,,-0.0079469636864982,259.0,,8.083218839464285e-05,0.14749430523917995,3,3,0.013506920846265,0.8346225806451613,3.0,0.8542,0.16372137546599247,False
Wyoming,RT,OL,OFF,1,Braylon Jenkins,SO,0,True,Mountain West,SO,1,braylon jenkins,184957,name+team,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0421125988923343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,1,True,False,True,0.0421125988923343,,,383.0,,0.00010995456629852297,0.09489593657086225,2,4,-0.0415608745778135,0.7907722433460076,3.0,0.8237,0.04661887632247004,False
Wyoming,TE-Y,TE,OFF,1,Jake Wilson,SO,0,True,Mountain West,SO,1,jake wilson,cfbd:5193325,name+position,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.531552274909577e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,True,,,,,,,0.0,2,8,-0.0415608745778135,0.7907722433460076,3.0,0.8404,0.05945364171312287,True
Wyoming,QB,QB,OFF,1,Tyler Hughes,SR,1,True,Mountain West,SR,1,tyler hughes,,unmatched,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,True,,,,,,,0.0,4,5,-0.0415608745778135,0.7907722433460076,,,0.16908785351869418,True
