season,home_team,home_points,away_team,away_points
2014,Vanderbilt,7.0,Temple,37.0
2014,UConn,10.0,BYU,35.0
2014,UCF,24.0,Penn State,26.0
2014,Houston,7.0,UTSA,27.0
2014,Tulsa,38.0,Tulane,31.0
2014,Baylor,45.0,SMU,0.0
2014,South Carolina,33.0,East Carolina,23.0
2014,UCLA,42.0,Memphis,35.0
2014,North Texas,43.0,SMU,6.0
2014,South Florida,17.0,Maryland,24.0
2014,Temple,24.0,Navy,31.0
2014,Tulane,21.0,Georgia Tech,38.0
2014,Tulsa,7.0,Oklahoma,52.0
2014,BYU,33.0,Houston,25.0
2014,Cincinnati,58.0,Toledo,34.0
2014,Missouri,38.0,UCF,10.0
2014,UConn,21.0,Boise State,38.0
2014,Virginia Tech,21.0,East Carolina,28.0
2014,South Florida,17.0,NC State,49.0
2014,Florida Atlantic,50.0,Tulsa,21.0
2014,South Florida,17.0,UConn,14.0
2014,Cincinnati,31.0,Miami (OH),24.0
2014,East Carolina,70.0,North Carolina,41.0
2014,Memphis,36.0,Middle Tennessee,17.0
2014,SMU,6.0,Texas A&M,58.0
2014,Duke,47.0,Tulane,13.0
2014,Ohio State,50.0,Cincinnati,28.0
2014,UConn,10.0,Temple,36.0
2014,Ole Miss,24.0,Memphis,3.0
2014,SMU,0.0,TCU,56.0
2014,Wisconsin,27.0,South Florida,10.0
2014,Rutgers,31.0,Tulane,6.0
2014,Tulsa,34.0,Texas State,37.0
2014,Houston,12.0,UCF,17.0
2014,Cincinnati,14.0,Memphis,41.0
2014,East Carolina,45.0,SMU,24.0
2014,Colorado State,42.0,Tulsa,17.0
2014,UCF,31.0,BYU,24.0
2014,Miami,55.0,Cincinnati,34.0
2014,Tulane,12.0,UConn,3.0
2014,South Florida,17.0,East Carolina,28.0
2014,Memphis,24.0,Houston,28.0
2014,Temple,35.0,Tulsa,24.0
2014,UCF,20.0,Tulane,13.0
2014,SMU,3.0,Cincinnati,41.0
2014,Houston,31.0,Temple,10.0
2014,Tulsa,30.0,South Florida,38.0
2014,East Carolina,31.0,UConn,21.0
2014,Cincinnati,34.0,South Florida,17.0
2014,UCF,34.0,Temple,14.0
2014,SMU,10.0,Memphis,48.0
2014,Tulane,14.0,Cincinnati,38.0
2014,Memphis,40.0,Tulsa,20.0
2014,UConn,37.0,UCF,29.0
2014,Temple,20.0,East Carolina,10.0
2014,South Florida,3.0,Houston,27.0
2014,Army,35.0,UConn,21.0
2014,Houston,24.0,Tulane,31.0
2014,Tulsa,38.0,SMU,28.0
2014,UCF,31.0,Tulsa,7.0
2014,Cincinnati,54.0,East Carolina,46.0
2014,Tulane,7.0,Memphis,38.0
2014,SMU,13.0,South Florida,14.0
2014,Penn State,30.0,Temple,13.0
2014,UCF,53.0,SMU,7.0
2014,UConn,0.0,Cincinnati,41.0
2014,East Carolina,34.0,Tulane,6.0
2014,Houston,38.0,Tulsa,28.0
2014,Memphis,31.0,South Florida,20.0
2014,South Florida,0.0,UCF,16.0
2014,Tulsa,32.0,East Carolina,49.0
2014,SMU,9.0,Houston,35.0
2014,Temple,6.0,Cincinnati,14.0
2014,Memphis,41.0,UConn,10.0
2014,East Carolina,30.0,UCF,32.0
2014,Cincinnati,38.0,Houston,31.0
2014,UConn,20.0,SMU,27.0
2014,Tulane,3.0,Temple,10.0
2014,Massachusetts,7.0,Boston College,30.0
2014,Boston College,20.0,Pittsburgh,30.0
2014,Boston College,37.0,USC,31.0
2014,Boston College,21.0,Colorado State,24.0
2014,NC State,14.0,Boston College,30.0
2014,Boston College,13.0,Clemson,17.0
2014,Wake Forest,17.0,Boston College,23.0
2014,Virginia Tech,31.0,Boston College,33.0
2014,Boston College,19.0,Louisville,38.0
2014,Florida State,20.0,Boston College,17.0
2014,Boston College,28.0,Syracuse,7.0
2014,Georgia,45.0,Clemson,21.0
2014,Florida State,23.0,Clemson,17.0
2014,Clemson,50.0,North Carolina,35.0
2014,Clemson,41.0,NC State,0.0
2014,Clemson,23.0,Louisville,17.0
2014,Clemson,16.0,Syracuse,6.0
2014,Wake Forest,20.0,Clemson,34.0
2014,Georgia Tech,28.0,Clemson,6.0
2014,Clemson,28.0,Georgia State,0.0
2014,Clemson,35.0,South Carolina,17.0
2014,Troy,17.0,Duke,34.0
2014,Duke,41.0,Kansas,3.0
2014,Miami,22.0,Duke,10.0
2014,Georgia Tech,25.0,Duke,31.0
2014,Duke,20.0,Virginia,13.0
2014,Pittsburgh,48.0,Duke,51.0
2014,Syracuse,10.0,Duke,27.0
2014,Duke,16.0,Virginia Tech,17.0
2014,Duke,20.0,North Carolina,45.0
2014,Duke,41.0,Wake Forest,21.0
2014,Oklahoma State,31.0,Florida State,37.0
2014,NC State,41.0,Florida State,56.0
2014,Florida State,43.0,Wake Forest,3.0
2014,Syracuse,20.0,Florida State,38.0
2014,Florida State,31.0,Notre Dame,27.0
2014,Louisville,31.0,Florida State,42.0
2014,Florida State,34.0,Virginia,20.0
2014,Miami,26.0,Florida State,30.0
2014,Florida State,24.0,Florida,19.0
2014,Georgia Tech,42.0,Georgia Southern,38.0
2014,Virginia Tech,24.0,Georgia Tech,27.0
2014,North Carolina,48.0,Georgia Tech,43.0
2014,Pittsburgh,28.0,Georgia Tech,56.0
2014,Georgia Tech,35.0,Virginia,10.0
2014,NC State,23.0,Georgia Tech,56.0
2014,Georgia,24.0,Georgia Tech,30.0
2014,Virginia,23.0,Louisville,21.0
2014,Florida International,3.0,Louisville,34.0
2014,Syracuse,6.0,Louisville,28.0
2014,Notre Dame,28.0,Louisville,31.0
2014,Louisville,44.0,Kentucky,40.0
2014,Louisville,31.0,Miami,13.0
2014,Miami,41.0,Arkansas State,20.0
2014,Nebraska,41.0,Miami,31.0
2014,Georgia Tech,28.0,Miami,17.0
2014,Virginia Tech,6.0,Miami,30.0
2014,Miami,47.0,North Carolina,20.0
2014,Virginia,30.0,Miami,13.0
2014,Miami,23.0,Pittsburgh,35.0
2014,North Carolina,31.0,San Diego State,27.0
2014,North Carolina,17.0,Virginia Tech,34.0
2014,Notre Dame,50.0,North Carolina,43.0
2014,Virginia,27.0,North Carolina,28.0
2014,North Carolina,40.0,Pittsburgh,35.0
2014,North Carolina,7.0,NC State,35.0
2014,NC State,24.0,Georgia Southern,23.0
2014,NC State,46.0,Old Dominion,34.0
2014,Louisville,30.0,NC State,18.0
2014,Syracuse,17.0,NC State,24.0
2014,NC State,42.0,Wake Forest,13.0
2014,Florida International,25.0,Pittsburgh,42.0
2014,Pittsburgh,20.0,Iowa,24.0
2014,Pittsburgh,10.0,Akron,21.0
2014,Virginia,24.0,Pittsburgh,19.0
2014,Pittsburgh,21.0,Virginia Tech,16.0
2014,Pittsburgh,30.0,Syracuse,7.0
2014,Central Michigan,3.0,Syracuse,40.0
2014,Syracuse,20.0,Maryland,34.0
2014,Syracuse,15.0,Notre Dame,31.0
2014,Wake Forest,7.0,Syracuse,30.0
2014,Virginia,20.0,UCLA,28.0
2014,BYU,41.0,Virginia,33.0
2014,Virginia,45.0,Kent State,13.0
2014,Virginia Tech,24.0,Virginia,20.0
2014,Ohio State,21.0,Virginia Tech,35.0
2014,Virginia Tech,35.0,Western Michigan,17.0
2014,Wake Forest,6.0,Virginia Tech,3.0
2014,UL Monroe,17.0,Wake Forest,10.0
2014,Utah State,36.0,Wake Forest,24.0
2014,Wake Forest,24.0,Army,21.0
2014,Louisville,20.0,Wake Forest,10.0
2014,Oklahoma,48.0,Louisiana Tech,16.0
2014,Alabama,33.0,West Virginia,23.0
2014,Texas,38.0,North Texas,7.0
2014,Iowa State,28.0,Kansas State,32.0
2014,UTEP,26.0,Texas Tech,30.0
2014,Texas,7.0,BYU,41.0
2014,Texas,17.0,UCLA,20.0
2014,Maryland,37.0,West Virginia,40.0
