team,proj_war,var,slots,unproven,sd,lo68,hi68,lo95,hi95
Air Force,2.0477310863452476,2.906072279767942,46,15,1.7047205870077191,0.3430104993375285,3.752451673352967,-1.2935212641898817,5.388983436880377
Akron,1.437879356478757,2.6604162261453648,44,13,1.6310782403506476,-0.19319888387189055,3.0689575968294047,-1.7590339946085123,4.634792707566026
Alabama,4.778656193448736,3.354403100881434,44,6,1.831502962291198,2.9471532311575377,6.610159155739934,1.1889103873579878,8.368401999539484
App State,1.5609338956872585,2.3858888791042325,43,14,1.5446322795747318,0.016301616112526673,3.1055661752619903,-1.4665453722792159,4.588413163653733
Arizona,3.3464995452734287,3.433245627735315,44,6,1.8529019476851212,1.4935975975883076,5.19940149295855,-0.28518827218940856,6.978187362736266
Arizona State,2.830065710809433,4.458162926967577,44,3,2.1114362237509274,0.7186294870585055,4.94150193456036,-1.3083492877423843,6.96848070936125
Arkansas,2.670254112013893,3.10505069192504,44,11,1.7621154025559846,0.9081387094579085,4.432369514569878,-0.7834920769958367,6.124000301023623
Arkansas State,1.7467234244094152,2.4200547898237037,44,14,1.55565252862704,0.19107089578237524,3.302375953036455,-1.3023555316995832,4.795802380518413
Army,2.9027732076930546,2.3963704970483426,35,5,1.5480214782257844,1.3547517294672702,4.450794685918839,-0.131348889629483,5.936895305015592
Auburn,4.278471532225152,3.736995995218623,44,5,1.9331311376155067,2.3453403946096447,6.211602669840659,0.4895345024987585,8.067408561951545
BYU,3.8011614500529523,3.9641782457447863,46,6,1.9910244211824188,1.8101370288705334,5.792185871235371,-0.10124641546458868,7.703569315570493
Ball State,1.1008589465169822,2.086432220820991,43,14,1.4444487601922718,-0.3435898136752895,2.545307706709254,-1.7302606234598703,3.931978516493835
Baylor,2.9767173745831026,4.065192080798855,44,7,2.0162321495301216,0.960485225052981,4.992949524113224,-0.9750976384959356,6.928532387662141
Boise State,2.3331942259170186,3.1657247704990112,44,11,1.779248372346877,0.5539458535701416,4.112442598263896,-1.1541325838828604,5.820521035716897
Boston College,1.9241912796482639,2.2478499029518413,44,6,1.4992831296829299,0.424908149965334,3.4234744093311935,-1.0144036545302788,4.862786213826807
Bowling Green,1.460802462664881,2.198626532618514,40,11,1.4827766293742677,-0.021974166709386678,2.9435790920391485,-1.4454397309086835,4.367044656238446
Buffalo,1.211783491888432,1.7823419123706887,44,21,1.3350437866866722,-0.12326029479824019,2.5468272785751043,-1.4049023300174455,3.8284693137943098
California,2.48727519013422,2.821368131899952,46,10,1.6796928683244303,0.8075823218097895,4.16696805845865,-0.8049228317816635,5.779473212050103
Central Michigan,2.2801783376582003,2.7708564457051157,39,1,1.6645889720003302,0.6155893656578701,3.9447673096585305,-0.9824160474624466,5.542772722778848
Charlotte,1.5928529247915482,2.6758024945039556,41,11,1.6357880347110856,-0.04293510991953742,3.2286409595026337,-1.6132916232421797,4.798997472825276
Cincinnati,2.875094260215537,2.986332983960885,42,10,1.7281009762050612,1.1469932840104757,4.603195236420598,-0.511983653146383,6.262172173577457
Clemson,3.9813394018644863,3.789883388255945,44,5,1.9467622834480702,2.034577118416416,5.928101685312557,0.16568532630626853,7.7969934774227045
Coastal Carolina,1.3702960924390286,1.6275342720276627,32,9,1.275748514413269,0.09454757802575964,2.6460446068522976,-1.1301709958109787,3.870763180689036
Colorado,2.7261508838900856,3.8191876406770637,44,7,1.9542741979254252,0.7718766859646604,4.68042508181551,-1.1042265440437475,6.556528311823919
Colorado State,1.0461307085953067,2.6680195925797445,44,13,1.6334073565953302,-0.5872766480000235,2.679538065190637,-2.1553477103315406,4.2476091275221535
Delaware,1.9619682518674832,2.0997700788983864,42,11,1.4490583421306358,0.5129099097368475,3.411026593998119,-0.8781860987085628,4.8021226024435295
Duke,2.8625508370960864,2.5760531744143194,44,10,1.605008777052113,1.2575420600439733,4.4675596141481995,-0.28326636592605503,6.008368040118228
East Carolina,2.185908450558586,3.1665905862995034,42,5,1.7794916651390935,0.40641678541949244,3.9654001156976797,-1.301895213114037,5.6737121142312095
Eastern Michigan,1.469167796745015,1.9303387260678362,26,3,1.3893663037758748,0.07980149296914019,2.85853410052089,-1.2539901586556996,4.192325752145729
Florida,4.487790197441,3.858262631497365,46,3,1.9642460720330752,2.5235441254079247,6.452036269474075,0.6378678962561728,8.337712498625827
Florida Atlantic,2.8308257919964137,3.340568221773713,45,12,1.8277221401990273,1.0031036517973864,4.658547932195441,-0.7515096027936798,6.413161186786507
Florida International,1.7841927243003348,2.851829516857855,44,12,1.6887360708109054,0.09545665348942944,3.4729287951112404,-1.5257299744890398,5.094115423089709
Florida State,3.786154124577774,3.77497264715648,43,7,1.9429288837104872,1.843225240867287,5.729083008288262,-0.021986487494780604,7.594294736650329
Fresno State,1.8878713819839656,3.0703863945163814,44,4,1.752251806823546,0.13561957516041967,3.640123188807512,-1.5465421593901845,5.322284923358116
Georgia,5.17893752906329,4.1261124916671825,44,4,2.031283459211733,3.1476540698515576,7.210220988275023,1.197621949008294,9.160253109118287
Georgia Southern,1.2906216131634785,2.7861328638988505,32,5,1.6691713105307227,-0.3785496973672442,2.9597929236942013,-1.9809541554767378,4.562197381803695
Georgia State,1.6686973678055756,2.1486326864840937,43,19,1.4658215056698047,0.2028758621357709,3.1345188734753804,-1.2043127833072416,4.541707518918393
Georgia Tech,2.944367466339863,3.1639235209802368,44,12,1.778742117615771,1.165625348724092,4.723109583955634,-0.5419670841870481,6.430702016866774
Hawai'i,1.6282382179844965,2.71288539141876,43,8,1.6470839053972812,-0.018845687412784695,3.2753221233817778,-1.6000462365941746,4.856522672563168
Houston,3.2363297565805826,3.424665561568722,43,8,1.8505851943557534,1.3857445622248292,5.086914950936336,-0.39081722435669386,6.863476737517859
Illinois,3.3641463907509612,3.247736877963104,44,11,1.8021478513049656,1.5619985394459956,5.166294242055927,-0.16806339780677115,6.896356179308693
Indiana,4.869786599442417,4.166376928138187,44,8,2.0411704799301273,2.8286161195122896,6.910957079372544,0.8690924587793676,8.870480740105467
Iowa,2.725024091186353,2.7100168791810275,44,13,1.646212889993584,1.078811201192769,4.371236981179937,-0.5015531732010716,5.951601355573778
Iowa State,2.3027269773706194,3.2242409147523827,46,10,1.795617140359376,0.5071098370112435,4.0983441177299955,-1.2166826177337575,5.822136572474996
Jacksonville State,1.9809474273809962,2.052990841914046,43,15,1.4328261729582015,0.5481212544227947,3.413773600339198,-0.8273918716170787,4.789286726379071
James Madison,1.9286593261136575,2.1060428588657074,43,19,1.4512211612520358,0.4774381648616217,3.3798804873656936,-0.9157341499403326,4.773052802167648
Kansas,3.0450204788393953,3.898692955018264,44,6,1.9745108141051708,1.0705096647342245,5.019531292944566,-0.8250207168067396,6.91506167448553
Kansas State,2.969612534104895,3.471106229681391,44,8,1.8630905049624913,1.1065220291424038,4.832703039067386,-0.6820448556215877,6.6212699238313775
Kennesaw State,1.4383782625966715,2.3727457022935305,44,17,1.540371936349637,-0.10199367375296564,2.9787501989463085,-1.5807507326486172,4.45750725784196
Kent State,1.4320372934306138,2.4351443130042263,45,13,1.560494893616838,-0.1284576001862241,2.992532187047452,-1.6265326980583885,4.490607284919616
Kentucky,3.1659768926615093,3.215102499755358,44,10,1.7930706901166384,1.3729062025448708,4.9590475827781475,-0.3484416599671021,6.68039544529012
LSU,4.466572442537761,3.9780592583384755,44,5,1.9945072720695896,2.4720651704681718,6.461079714607351,0.5573381892813658,8.375806695794157
Liberty,1.8640271325676145,3.6097624221999087,45,8,1.8999374784976237,-0.03591034593000919,3.763964611065238,-1.8598503252877279,5.587904590422957
Louisiana,1.7360835828608991,3.206368335239093,42,4,1.7906335010937031,-0.05454991823280397,3.526717083954602,-1.7735580792827588,5.245725245004557
Louisiana Tech,2.127925378864348,2.6371907201503157,41,9,1.623942954709406,0.5039824241549422,3.7518683335737544,-1.0550028123660873,5.310853570094784
Louisville,3.6444901632670526,2.618731428062764,44,10,1.6182494949984578,2.0262406682685947,5.26273965826551,0.47272115307007523,6.816259173464029
Marshall,2.120635226909384,3.3556190666982375,44,16,1.8318348906760777,0.2888003362333065,3.952470117585462,-1.4697611588157282,5.711031612634496
Maryland,3.8776093254754445,3.580348562424343,44,2,1.8921809010832824,1.985428424392162,5.769790226558727,0.16893475935221103,7.586283891598677
Massachusetts,1.1094341848458258,2.092871415453967,43,18,1.4466759884141185,-0.3372418035682927,2.5561101732599445,-1.7260507524458466,3.944919122137498
Memphis,2.4228428868063543,2.906205216058491,44,7,1.7047595772009878,0.7180833096053665,4.127602464007342,-0.9184858845075818,5.76417165812029
Miami,6.17590037016326,3.5977536127847882,43,6,1.8967745287157323,4.279125841447528,8.072674898878994,2.4582222938804255,9.893578446446096
Miami (OH),1.635338514490407,2.125001678680791,33,4,1.4577385494939725,0.17759996499643438,3.0930770639843796,-1.2218290425177794,4.492506071498593
Michigan,4.22867124249954,3.495878700128556,44,11,1.8697269052266847,2.358944337272855,6.098398147726225,0.5640065082552379,7.893335976743842
Michigan State,3.052553910740607,3.537758572373313,43,8,1.8808930252338416,1.1716608855067654,4.933446935974448,-0.6339964187177225,6.7391042401989365
Middle Tennessee,1.745377123364766,2.368374136605433,44,18,1.5389522853569675,0.20642483800779843,3.2843294087217334,-1.2709693559348905,4.761723602664422
Minnesota,3.5993918159963867,3.504990356881559,44,7,1.8721619472902333,1.7272298687061534,5.47155376328662,-0.07004560069247079,7.268829232685244
Mississippi State,3.4343595994046017,2.888591966373586,44,11,1.6995858220088758,1.734773777395726,5.133945421413477,0.10317138826720518,6.765547810541998
Missouri,4.151745722576747,3.7351545417654965,44,8,1.9326547911527026,2.219090931424044,6.08440051372945,0.36374233191744976,7.939749113236044
Missouri State,2.0376519649563947,3.2743194445286368,43,13,1.8095080669973915,0.22814389795900314,3.847160031953786,-1.5089838463584928,5.584287776271282
NC State,3.0871711613256148,3.1895500087744244,44,13,1.7859311321477165,1.3012400291778983,4.873102293473331,-0.4132538576839093,6.587596180335138
Navy,2.507666018065574,3.6487509020674245,46,12,1.9101703856115622,0.5974956324540117,4.417836403677136,-1.2362679377330879,6.251599973864236
Nebraska,4.210879085739979,4.157689222320695,44,3,2.0390412507648525,2.1718378349751264,6.2499203365048315,0.21435823424086786,8.20739993723909
Nevada,1.6545487739978926,2.3572069189956593,44,14,1.535319810005609,0.11922896399228367,3.1898685840035013,-1.354678053613101,4.6637756016088865
New Mexico,2.388157836099202,2.590440109885294,42,12,1.6094844236230725,0.7786734124761294,3.9976422597222747,-0.7664316342020201,5.542747306400424
New Mexico State,1.510767229996092,2.1684096177309913,43,13,1.472552076407144,0.03821515358894789,2.983319306403236,-1.3754348397619105,4.396969299754094
North Carolina,2.728980383026629,3.2160570075060395,43,10,1.7933368360422532,0.9356435469843758,4.522317219068882,-0.7859598156161871,6.243920581669445
North Dakota State,0.3899191884051461,0.25342568563565315,43,43,0.5034140300345762,-0.11349484162943008,0.8933332184397222,-0.5967723104626232,1.3766106872729154
North Texas,2.0075241792972394,3.1007797026704647,44,16,1.7609030929243281,0.24662108637291125,3.7684272722215675,-1.4438458828344438,5.458894241428922
Northern Illinois,1.2205811881311774,2.162335782539441,44,21,1.4704882803135293,-0.24990709218235185,2.6910694684447067,-1.66157584128334,4.102738217545695
Northwestern,3.5389622717331024,3.9903401575759974,42,7,1.9975835796221386,1.5413786921109638,5.536545851355241,-0.37630154432628915,7.4542260877924935
Notre Dame,5.246069124115418,3.4357908520290197,44,2,1.853588641535392,3.3924804825800257,7.09965776565081,1.6130353867060498,8.879102861524785
Ohio,1.217022069631544,2.000435367688561,25,7,1.4143674797196664,-0.19734541008812245,2.6313895493512103,-1.555138190619002,3.98918232988209
Ohio State,6.207290723110799,3.458247067682416,44,8,1.8596362729529707,4.347654450157829,8.06692699606377,2.5624036281229765,9.852177818098621
Oklahoma,4.695754567670483,3.7099553395872387,43,5,1.9261244351254252,2.769630132545058,6.621879002795908,0.9205506748246499,8.470958460516316
Oklahoma State,2.7999686077205905,3.9733947425230633,44,5,1.9933375886996823,0.8066310190209083,4.793306196420273,-1.1069730661307866,6.706910281571968
Old Dominion,1.633260577607784,2.621733480031081,35,12,1.619176790851166,0.014083786756617922,3.25243736845895,-1.5403259324605016,4.806847087676069
Ole Miss,4.948532176435121,3.687109149898485,44,4,1.9201846655721644,3.0283475108629565,6.868716842007285,1.1849702319136788,8.712094120956563
Oregon,6.401217764767778,3.78218399032466,44,10,1.944783790122866,4.456433974644912,8.346001554890645,2.589441536126961,10.212993993408595
Oregon State,1.8254470375958665,2.7617617296674344,43,14,1.66185490632228,0.1635921312735864,3.4873019439181467,-1.4317885787958025,5.082682653987535
Penn State,3.4066245473814782,3.4002836727942536,44,9,1.8439858114406016,1.5626387359408767,5.25061035882208,-0.20758764304210064,7.020836737805057
Pittsburgh,3.521328497386425,2.9764051932204416,44,7,1.7252261281410162,1.7961023692454088,5.246554625527441,0.1398852862300335,6.902771708542817
Purdue,2.2979245805176927,3.423066025460893,44,7,1.8501529735297275,0.44777160698796514,4.14807755404742,-1.3283752476005732,5.924224408635959
Rice,1.5330381213466853,2.2353089797260237,43,11,1.4950949734802883,0.037943147866396965,3.0281330948269733,-1.3973480266746796,4.46342426936805
Rutgers,3.099848215489673,3.316926972098221,44,13,1.8212432490192574,1.2786049664704155,4.9210914645089305,-0.4697885525880716,6.6694849835674175
SMU,4.33758088204769,3.978183940918825,44,4,1.9945385283114552,2.3430423537362346,6.332119410359145,0.4282853665572377,8.246876397538141
Sacramento State,0.5022749572183652,0.7718047639975205,44,38,0.8785241965919439,-0.3762492393735787,1.380799153810309,-1.2196324681018447,2.2241823825385754
Sam Houston,1.262841031570503,1.6881218991124323,43,14,1.299277452706862,-0.03643642113635903,2.5621184842773648,-1.2837427757349467,3.8094248388759526
San Diego State,1.8798165435525502,3.011997819856436,43,13,1.7355108238949235,0.14430571965762673,3.615327367447474,-1.5217846712814997,5.2814177583866
San José State,1.0575723182182974,1.7632688466953028,34,15,1.327881337580773,-0.27030901936247553,2.38545365579907,-1.5450751034400176,3.6602197398766125
South Alabama,1.5571348691861038,2.7450045449114877,38,11,1.6568055241673623,-0.09967065498125849,3.2139403933534663,-1.6902039581819264,4.804473696554134
South Carolina,3.740043753592957,3.7327572051696722,44,5,1.9320344730800412,1.8080092805129158,5.672078226672998,-0.04674381364392355,7.526831320829837
South Florida,2.3738903138492717,4.05723810248676,44,8,2.014258698004494,0.35963161584477765,4.388149011853766,-1.5740567342395364,6.32183736193808
Southern Miss,1.0146324091359982,2.250594788597983,28,11,1.5001982497650046,-0.48556584062900643,2.514830658901003,-1.9257561604034108,3.955020978675407
Stanford,2.489230526831615,3.9088201606024553,46,6,1.977073635604515,0.5121568912270997,4.4663041624361295,-1.3858337989532346,6.364294852616464
Syracuse,2.8190025625778667,3.223273528741467,44,13,1.7953477459092617,1.023654816668605,4.614350308487128,-0.6998790194042863,6.33788414456002
TCU,3.08750702164119,2.7147270348406023,44,7,1.6476428723605738,1.4398641492806163,4.735149894001764,-0.1418730081855344,6.316887051467915
Temple,1.8514591348096068,2.77696638061974,44,7,1.6664232297407944,0.1850359050688124,3.517882364550401,-1.41473039548235,5.117648665101564
Tennessee,4.201077168433386,2.6700433198910933,44,7,1.6340267194544567,2.5670504489789296,5.8351038878878425,0.9983847983026513,7.403769538564121
Texas,5.0685030047723405,3.9955073473720892,48,5,1.9988765212919204,3.06962648348042,7.067379526064261,1.1507050230401767,8.986300986504505
Texas A&M,5.766668122020882,4.098504749666118,44,3,2.0244764137095097,3.7421917083113727,7.791144535730393,1.7986943511502433,9.73464189289152
Texas State,3.1880756659825167,3.422775283276612,44,9,1.850074399389552,1.3380012665929646,5.0381500653720686,-0.43807015682100525,6.814221488786039
Texas Tech,6.118891416226008,4.175145268679993,44,4,2.0433172217450704,4.075574194480938,8.162208637971078,2.11398966160567,10.123793170846346
Toledo,1.6536245903915503,1.912276826140431,44,26,1.3828509775606448,0.2707736128309055,3.036475567952195,-1.0567633256273135,4.364012506410414
Troy,1.5782668198756378,3.4104024237075667,42,12,1.8467274903752222,-0.26846067049958444,3.42499431025086,-2.041319061259798,5.197852701011073
