team,season,games,wins,win_pct,margin_pg,pf_pg,pa_pg,conference
Air Force,2014,13,10,0.7692307692307693,7.3076923076923075,31.46153846153846,24.153846153846153,MWC
Air Force,2015,14,8,0.5714285714285714,8.285714285714286,33.785714285714285,25.5,MWC
Air Force,2016,13,10,0.7692307692307693,8.923076923076923,35.15384615384615,26.23076923076923,MWC
Air Force,2017,12,5,0.4166666666666667,-1.0,31.416666666666668,32.416666666666664,MWC
Air Force,2018,12,5,0.4166666666666667,4.416666666666667,30.166666666666668,25.75,MWC
Air Force,2019,13,11,0.8461538461538461,14.23076923076923,34.07692307692308,19.846153846153847,MWC
Air Force,2021,13,10,0.7692307692307693,11.23076923076923,31.0,19.76923076923077,MWC
Air Force,2022,13,10,0.7692307692307693,14.461538461538462,27.846153846153847,13.384615384615385,MWC
Air Force,2023,13,9,0.6923076923076923,9.692307692307692,27.846153846153847,18.153846153846153,MWC
Air Force,2024,12,5,0.4166666666666667,-4.333333333333333,18.916666666666668,23.25,MWC
Air Force,2025,12,4,0.3333333333333333,-0.5,29.833333333333332,30.333333333333332,Mountain West
Akron,2014,12,5,0.4166666666666667,-0.5,22.583333333333332,23.083333333333332,MAC
Akron,2015,13,8,0.6153846153846154,2.4615384615384617,23.923076923076923,21.46153846153846,MAC
Akron,2016,12,5,0.4166666666666667,-6.166666666666667,27.416666666666668,33.583333333333336,MAC
Akron,2017,14,7,0.5,-5.857142857142857,22.142857142857142,28.0,MAC
Akron,2018,12,4,0.3333333333333333,-8.25,18.916666666666668,27.166666666666668,MAC
Akron,2019,12,0,0.0,-25.75,10.5,36.25,MAC
Akron,2021,12,2,0.16666666666666666,-19.666666666666668,19.833333333333332,39.5,MAC
Akron,2022,12,2,0.16666666666666666,-11.75,21.75,33.5,MAC
Akron,2023,12,2,0.16666666666666666,-11.75,16.25,28.0,MAC
Akron,2024,12,4,0.3333333333333333,-11.583333333333334,20.416666666666668,32.0,MAC
Akron,2025,12,5,0.4166666666666667,-5.166666666666667,22.25,27.416666666666668,Mid-American
Alabama,2014,14,12,0.8571428571428571,18.5,36.92857142857143,18.428571428571427,SEC
