,rf
CB-LB-S_defense_penalty,0.010219124536765089
CB-S_interceptions,0.006121113213311024
CB-S_missed_tackle_rate,7.563491717837572e-07
CB-S_pass_rush,0.005370928077733786
CB-S_run,0.014743915967945359
CB-S_tackle,7.801365831078774e-07
CB_catch_rate,0.011683373693810551
CB_coverage,0.010291824823694593
CB_pass_break_ups,0.004418540442852156
CB_qb_rating_against,0.007050991034837611
CB_yards,0.007010216792276822
CB_yards_after_catch,0.008702796434675681
DI-ED_defense_penalty,0.021058188133558402
DI-ED_tackle,5.070693079444875e-07
DI_pass_rush,0.011402490822378401
DI_run,0.03520795934145973
DI_sacks,0.006845307877171923
DI_stops,0.035646346204418804
DI_total_pressures,0.012169392883286329
ED_hurries,0.010626974090850025
ED_pass_rush,0.012799035734566026
ED_qb_rating_against,0.004204829244312929
ED_run,0.029092687057484815
ED_sacks,0.008905552558303642
ED_total_pressures,0.012495679470632622
LB_coverage,0.007864232963197037
LB_missed_tackle_rate,1.0714008526017207e-06
LB_pass_rush,0.006732018065465708
LB_run,0.028417556297705038
LB_stops,0.030565918766739444
LB_tackle,1.0554429846444677e-06
LB_tackles,1.3959261401226915e-06
OL_pass_block,0.009904950003033108
OL_penalties,0.020337860540080046
OL_pressures_allowed,0.009214158963062189
OL_run_block,0.0430667171800825
OL_sacks_allowed,0.0042586542720351285
QB-RB-TE-WR_offense_penalty,0.008546488466999513
QB_accuracy_pct,0.012455800620033559
QB_btt_rate,0.009913986142561147
QB_completion_pct,0.012418742100903787
QB_hands_fumble,0.0034186728925402776
QB_pass,0.008199911326076044
QB_positive_epa_pct,0.0102854272485445
QB_pressure_to_sack_rate,0.017167888221119237
QB_qb_rating,0.011851299855958581
QB_run,0.024442831437847482
QB_sack_pct,0.019814069735256484
QB_twp_rate,0.008938689957162274
QB_ypa,0.012385951405423935
RB_breakaway_pct,0.010912910205273308
RB_elusive_rating,0.015890183805202764
RB_hands_fumble,0.003282013010083327
RB_pass_route,0.004711466677507578
RB_run,0.011786591705497375
RB_run_block,0.022638607514501776
RB_yards_after_catch,0.004319579413826957
RB_yco_attempt,0.01149203539731998
RB_ypa,0.012050519837132047
S_catch_rate,0.009159862898835512
S_coverage,0.007054094951307601
S_yards,0.006712739357313246
TE_first_downs,0.005441709125036088
TE_hands_drop,0.00042718129216529765
TE_pass_block,0.003946379231672044
TE_pass_route,0.007446317739497455
TE_positive_epa_pct,0.006955098702143176
TE_run_block,0.03412333654213141
TE_targeted_qb_rating,0.004687842773330975
TE_yards_after_catch,0.007216919994597583
TE_yprr,0.00837447799366826
WR_avg_depth_of_target,0.011819583556004733
WR_avoided_tackles,0.0069783292794638
WR_caught_pct,0.00803879843457846
WR_contested_catch_rate,0.00038165536087883143
WR_drop_rate,0.0005497133026547726
WR_first_downs,0.006386011178752335
WR_hands_drop,0.0004664706159508786
WR_offense,0.008898674518909485
WR_pass_route,0.008810233134501012
WR_positive_epa_pct,0.002023042304374144
WR_targeted_qb_rating,0.002911349580597663
WR_touchdowns,0.00665059965996876
WR_yards_after_catch,0.007766289268986781
WR_yards_per_reception,0.008545055317466509
WR_yprr,0.008576106333806757
cfbd_cov_db,0.01897430582604116
cfbd_havoc_db,0.01893781087548778
cfbd_havoc_dl,0.013876881803126666
cfbd_havoc_lb,0.012412700241969965
cfbd_pass_qb,0.007432241649843521
cfbd_recv_rb,0.004959081968454943
cfbd_recv_te,0.0028558750630627116
cfbd_recv_wr,0.004784862516001199
cfbd_run_qb,0.013304882899092332
cfbd_run_rb,0.008750536081881753
cfbd_tackle_db,2.1107407427114862e-06
cfbd_tackle_lb,2.269096163032439e-06
