team,roster_position,broad_group,group_source,bio_group,unit,depth,player,class,is_transfer,redshirt,projected_slot
Wyoming,RCB,CB,label,CB,DEF,1,Logan Mackey,JR,True,True,2.0
Wyoming,LCB,CB,label,CB,DEF,1,Ian Bell,SR,False,False,1.0
Air Force,LG,IOL,label,,OFF,1,TJ Tarascio,SR,False,False,2.0
Air Force,C,IOL,label,,OFF,1,Rudy Varela,SR,False,False,3.0
Air Force,WR-Z,WR,label,WR,OFF,1,Matt Long,JR,False,False,2.0
Air Force,WR-X,WR,label,WR,OFF,1,Jonah Dawson,JR,False,False,1.0
Air Force,WR-SL,WR,label,WR,OFF,1,Astin Hange,JR,False,False,10.0
James Madison,WR-SL,WR,label,WR,OFF,1,Braeden Wisloski,SR,True,False,3.0
James Madison,WR-Z,WR,label,WR,OFF,1,Corey Scott,JR,True,True,2.0
James Madison,WR-X,WR,label,WR,OFF,1,Jeremiah Harrison,SO,True,False,1.0
Jacksonville State,NB,CB,default,,DEF,1,Rob Billings IV,JR,True,True,3.0
Jacksonville State,FS,SAF,label,SAF,DEF,1,Caleb Nix,SR,True,True,2.0
Jacksonville State,SS,SAF,label,SAF,DEF,1,Marc Woods,SO,False,True,1.0
James Madison,RT,OT,label,,OFF,1,Daniel Michel,JR,True,True,5.0
James Madison,RG,IOL,label,,OFF,1,DJ Fox,SR,True,True,4.0
James Madison,C,IOL,label,,OFF,1,Zach Greenberg,GR,True,False,3.0
Wyoming,LT,OT,label,,OFF,1,Rex Johnsen,SR,False,True,1.0
Wyoming,WR-SL,WR,label,WR,OFF,1,Deion DeBlanc,SO,False,False,3.0
Wyoming,LDE,EDGE,label,EDGE,DEF,1,Jack Dunkley,SR,True,False,1.0
Wyoming,RB,RB,label,RB,OFF,1,Samuel Harris,SO,False,False,1.0
Wyoming,QB,QB,label,QB,OFF,1,Tyler Hughes,SR,True,True,1.0
Wyoming,TE-Y,TE,label,TE,OFF,1,Jake Wilson,SO,False,True,1.0
Wyoming,MLB,LB,label,LB,DEF,1,Ethan Stuhlsatz,GR,True,False,2.0
Wyoming,WLB,LB,label,LB,DEF,1,Gary Rutherford,SO,False,True,1.0
Wyoming,RDT,DT,label,WR,DEF,1,Jayden Williams,JR,False,True,2.0
Wyoming,LDT,DT,label,LB,DEF,1,Dante Drake,JR,False,True,1.0
Wyoming,RDE,EDGE,label,EDGE,DEF,1,Esaia Bogar,SR,True,False,2.0
Air Force,QB,QB,label,QB,OFF,1,Liam Szarka,JR,False,False,1.0
Air Force,TE,TE,label,TE,OFF,1,Simon Kibbee,SR,False,False,1.0
Air Force,RT,OT,label,,OFF,1,Luke Vonderhaar,SR,False,False,5.0
Air Force,RG,IOL,label,,OFF,1,Jon Ashford,JR,False,False,4.0
Wyoming,SS,SAF,label,SAF,DEF,1,Brooklyn Cheek,SO,True,True,1.0
Wisconsin,LG,IOL,label,,OFF,1,Colin Cubberly,SO,False,True,2.0
Wisconsin,LT,OT,label,,OFF,1,PJ Wilkins,JR,True,True,1.0
Wisconsin,WR-SL,WR,label,WR,OFF,1,Tyrell Henry,SR,True,True,3.0
Wisconsin,DT,DT,label,DT,DEF,1,Junior Poyser,JR,True,True,2.0
Wisconsin,NT,DT,label,DT,DEF,1,Hammond Russell IV,SR,True,True,1.0
Wisconsin,RB,RB,label,RB,OFF,1,Abu Sama III,SR,True,False,1.0
Wisconsin,QB,QB,label,QB,OFF,1,Colton Joseph,JR,True,True,1.0
Wisconsin,TE,TE,label,TE,OFF,1,Jacob Harris,JR,True,True,1.0
Air Force,WLB,LB,label,LB,DEF,1,Blake Fletcher,SR,False,False,1.0
Air Force,MLB,LB,label,LB,DEF,1,Dallas Daley,SR,False,False,2.0
Air Force,NT,DT,label,,DEF,1,Bennett Williams,JR,False,False,1.0
Air Force,DT,DT,label,DT,DEF,1,Chaz Barnett,JR,False,False,2.0
Wisconsin,SS,SAF,label,SAF,DEF,1,Matthew Jung,SR,True,True,1.0
Wisconsin,RCB,CB,label,CB,DEF,1,Eric Fletcher Jr.,SO,True,True,2.0
Wisconsin,LCB,CB,label,CB,DEF,1,Javan Robinson,SR,True,True,1.0
Wisconsin,SLB,LB,label,LB,DEF,1,Jon Jon Kamara,SO,True,True,3.0
Western Michigan,LDT,DT,label,DT,DEF,1,Zavian Tibbs,SR,True,False,1.0
Western Michigan,RDE,EDGE,label,EDGE,DEF,1,DeJuan Echoles Jr.,SR,True,True,2.0
Wisconsin,WR-Z,WR,label,WR,OFF,1,Chris Brooks Jr.,SR,False,True,2.0
Wisconsin,WR-X,WR,label,WR,OFF,1,Eugene Hilton Jr.,SO,False,False,1.0
Western Michigan,NB,CB,bio,,DEF,1,Joshua Franklin,SR,False,False,3.0
Western Michigan,FS,SAF,label,SAF,DEF,1,Micah Davis,JR,True,True,2.0
Western Michigan,SS,SAF,label,SAF,DEF,1,Joey Pope,JR,False,True,1.0
Western Michigan,RCB,CB,label,CB,DEF,1,John Peters,SO,False,False,2.0
Western Michigan,LCB,CB,label,CB,DEF,1,Jarvarius Sims,SR,True,True,1.0
Air Force,SS,SAF,label,,DEF,1,Kyle Chen,JR,False,False,1.0
Air Force,FS,SAF,label,SAF,DEF,1,Max Mustell,SO,False,False,2.0
Air Force,RCB,CB,label,CB,DEF,1,Mikhail Seiken,JR,False,False,2.0
Air Force,LCB,CB,label,CB,DEF,1,Korey Johnson,JR,False,False,1.0
Wisconsin,RT,OT,label,,OFF,1,Kevin Heywood,SO,False,True,5.0
Wisconsin,RG,IOL,label,,OFF,1,Emerson Mandell,SO,False,True,4.0
Wisconsin,C,IOL,label,,OFF,1,Austin Kawecki,GR,True,False,3.0
Western Michigan,LT,OT,label,,OFF,1,Brandon Smith,SR,True,True,1.0
Western Michigan,WR-F,WR,label,WR,OFF,1,Emazon Littlejohn,SO,True,True,3.0
Western Michigan,WR-Z,WR,label,WR,OFF,1,Baylin Brooks,JR,True,True,2.0
Western Michigan,WR-X,WR,label,WR,OFF,1,Aveion Chenault,SO,False,False,1.0
Western Kentucky,NB,SAF,bio,SAF,DEF,1,Christian White,SR,True,True,3.0
Western Michigan,LDE,EDGE,label,EDGE,DEF,1,Scoop Gardner Jr.,JR,True,False,1.0
Western Michigan,RB,RB,label,RB,OFF,1,Jalen Buckley,SR,False,True,1.0
Western Michigan,QB,QB,label,QB,OFF,1,Broc Lowry,JR,True,True,1.0
Western Michigan,TE,TE,label,TE,OFF,1,Adam Parks,JR,True,True,1.0
Akron,WR-SL,WR,label,WR,OFF,1,Kyan Mason,SO,False,True,3.0
Akron,WR-Z,WR,label,WR,OFF,1,Marcel Williams,SO,True,True,2.0
Akron,WR-X,WR,label,WR,OFF,1,Cameron Monteiro,SO,True,True,1.0
Air Force,SPUR,CB,default,,DEF,1,Alexander Perez,SO,False,False,1.0
Western Michigan,MLB,LB,label,LB,DEF,1,Dillon Moore,SR,False,True,2.0
Western Michigan,WLB,LB,label,LB,DEF,1,Domanick Moon,SR,True,True,1.0
Western Michigan,RDT,DT,label,DT,DEF,1,Ahmed Tounkara,SO,True,True,2.0
Western Kentucky,RCB,CB,label,CB,DEF,1,Lataj Wright,SR,True,True,2.0
Western Kentucky,LCB,CB,label,CB,DEF,1,Braxton Myers,JR,True,True,1.0
Western Kentucky,MLB,LB,label,LB,DEF,1,Jordan Donald,SO,False,False,2.0
Western Kentucky,WLB,LB,label,LB,DEF,1,Zach Smith,SO,True,True,1.0
Western Kentucky,DT,DT,label,DT,DEF,1,Jakeem Fletcher,SR,True,True,2.0
Western Kentucky,NT,DT,label,DT,DEF,1,Kiawan Murphy,SR,True,True,1.0
Akron,TE,TE,label,TE,OFF,1,Conner Cravaack,JR,False,True,1.0
Akron,RT,OT,label,,OFF,1,Allen Jones Jr.,SR,True,True,5.0
Akron,RG,IOL,label,,OFF,1,Carlos Slayden,SR,True,True,4.0
Akron,C,IOL,label,,OFF,1,Colin Lyons,GR,False,False,3.0
Akron,LG,IOL,label,,OFF,1,Amarie Archer,SR,True,True,2.0
Akron,LT,OT,label,,OFF,1,Ian Falkner,SR,True,True,1.0
Western Michigan,RT,OT,label,,OFF,1,Chad Schuster,SR,True,True,5.0
Western Michigan,RG,IOL,label,,OFF,1,Gavin Dabo,SO,False,True,4.0
Western Michigan,C,IOL,label,,OFF,1,Jeremy Schleicher,SO,False,True,3.0
Western Michigan,LG,IOL,label,,OFF,1,Hunter Whitenack,SR,True,True,2.0
Western Kentucky,RG,IOL,label,,OFF,1,Rhett Larson,SR,True,True,4.0
Western Kentucky,C,IOL,label,,OFF,1,Alec Johnson,SR,True,True,3.0
Western Kentucky,LG,IOL,label,,OFF,1,Nonso Omezi,SR,True,True,2.0
Western Kentucky,LT,OT,label,,OFF,1,Zach Clayton,JR,True,False,1.0
Western Kentucky,RDE,EDGE,label,EDGE,DEF,1,Elin Jones,SR,True,True,2.0
Western Kentucky,LDE,EDGE,label,,DEF,1,Venson Sneed,SR,True,True,1.0
Western Kentucky,RB,RB,label,RB,OFF,1,Ajay Allen,SR,True,True,1.0
Western Kentucky,QB,QB,label,QB,OFF,1,Rodney Tisdale Jr.,SO,False,True,1.0
Akron,DT,DT,label,DT,DEF,1,Vaughn Highland,SR,True,True,2.0
Akron,NT,DT,label,DT,DEF,1,Ronald Hull,JR,False,False,1.0
Akron,RDE,EDGE,label,EDGE,DEF,1,Kurtis Waye,SR,True,False,2.0
Akron,LDE,EDGE,label,,DEF,1,Cyrus Durham,SR,True,True,1.0
Akron,RB,RB,label,RB,OFF,1,Jordan Gant,SR,True,True,1.0
Akron,QB,QB,label,QB,OFF,1,Reese Poffenbarger,GR,True,False,1.0
Western Kentucky,FS,SAF,label,SAF,DEF,1,Dave Herard,SR,True,True,2.0
Western Kentucky,SS,SAF,label,SAF,DEF,1,Jaylen Lewis,SR,True,True,1.0
West Virginia,RCB,CB,label,CB,DEF,1,Chams Diagne,SR,True,True,2.0
West Virginia,LCB,CB,label,CB,DEF,1,Nick Taylor,JR,True,False,1.0
Western Kentucky,WR-SL,WR,label,WR,OFF,1,K.D. Hutchinson,SR,False,True,3.0
Western Kentucky,WR-Z,WR,label,WR,OFF,1,Qua'Vez Humphreys,SR,True,True,2.0
Western Kentucky,WR-X,WR,label,,OFF,1,Cameron Flowers,SO,False,True,1.0
West Virginia,BANDIT,EDGE,bio,,DEF,1,Harper Holloman,JR,True,False,1.0
